time,q1,q2,q3,q4,q5,q6,q7
0.007502,-0.000001,-0.780383,0.000000,-2.463082,-0.000010,1.571040,0.785398
0.009482,-0.000001,-0.780383,0.000000,-2.463082,-0.000010,1.571040,0.785398
0.011458,-0.000001,-0.780383,0.000000,-2.463081,-0.000010,1.571049,0.785398
0.013462,-0.000001,-0.780383,0.000000,-2.463081,-0.000010,1.571094,0.785398
0.015474,-0.000001,-0.780383,0.000000,-2.463081,-0.000010,1.571175,0.785398
0.017381,-0.000001,-0.780383,0.000000,-2.463081,-0.000010,1.571290,0.785398
0.019434,-0.000001,-0.780383,0.000000,-2.463081,-0.000010,1.571439,0.785398
0.021556,-0.000001,-0.780383,0.000000,-2.463081,-0.000010,1.571620,0.785398
0.023541,-0.000001,-0.780383,0.000000,-2.463081,-0.000010,1.571723,0.785398
0.025533,-0.000001,-0.780383,0.000000,-2.463080,-0.000010,1.571952,0.785398
0.027468,-0.000001,-0.780383,0.000000,-2.463079,-0.000010,1.572353,0.785398
0.029414,-0.000001,-0.780383,0.000000,-2.463079,-0.000010,1.572353,0.785398
0.031472,-0.000001,-0.780383,0.000000,-2.463076,-0.000010,1.572990,0.785398
0.033444,-0.000001,-0.780383,0.000000,-2.463075,-0.000010,1.573350,0.785398
0.035524,-0.000001,-0.780383,0.000000,-2.463072,-0.000010,1.573736,0.785398
0.037638,-0.000001,-0.780383,0.000000,-2.463069,-0.000010,1.574148,0.785398
0.039494,-0.000001,-0.780383,0.000000,-2.463067,-0.000010,1.574362,0.785398
0.041501,-0.000001,-0.780383,0.000000,-2.463063,-0.000010,1.574809,0.785398
0.043724,-0.000001,-0.780383,0.000000,-2.463058,-0.000010,1.575278,0.785398
0.045551,-0.000001,-0.780383,0.000000,-2.463055,-0.000010,1.575521,0.785398
0.047625,-0.000001,-0.780383,0.000000,-2.463045,-0.000010,1.576280,0.785398
0.049453,-0.000001,-0.780383,0.000000,-2.463037,-0.000010,1.576810,0.785398
0.051448,-0.000001,-0.780383,0.000000,-2.463028,-0.000010,1.577359,0.785398
0.053482,-0.000001,-0.780383,0.000000,-2.463018,-0.000010,1.577925,0.785398
0.055478,-0.000001,-0.780383,0.000000,-2.463006,-0.000010,1.578506,0.785398
0.057478,-0.000001,-0.780383,0.000000,-2.462993,-0.000010,1.579103,0.785398
0.059483,-0.000001,-0.780383,0.000000,-2.462979,-0.000010,1.579713,0.785398
0.061479,-0.000001,-0.780383,0.000000,-2.462963,-0.000010,1.580335,0.785398
0.063526,-0.000001,-0.780383,0.000000,-2.462946,-0.000010,1.580968,0.785398
0.065485,-0.000001,-0.780383,0.000000,-2.462927,-0.000010,1.581612,0.785398
