time,x,y,z
0.007502,0.291125,-0.000002,0.435814
0.009482,0.291125,-0.000002,0.435814
0.011458,0.291127,-0.000002,0.435815
0.013462,0.291136,-0.000002,0.435818
0.015474,0.291154,-0.000002,0.435823
0.017381,0.291179,-0.000002,0.435831
0.019434,0.291212,-0.000002,0.435840
0.021556,0.291252,-0.000002,0.435852
0.023541,0.291274,-0.000002,0.435859
0.025533,0.291324,-0.000002,0.435874
0.027468,0.291412,-0.000002,0.435900
0.029414,0.291412,-0.000002,0.435900
0.031472,0.291552,-0.000002,0.435942
0.033444,0.291631,-0.000002,0.435966
0.035524,0.291716,-0.000002,0.435992
0.037638,0.291807,-0.000002,0.436020
0.039494,0.291854,-0.000002,0.436035
0.041501,0.291952,-0.000002,0.436066
0.043724,0.292056,-0.000002,0.436099
0.045551,0.292110,-0.000002,0.436116
0.047625,0.292277,-0.000002,0.436170
0.049453,0.292395,-0.000002,0.436208
0.051448,0.292516,-0.000002,0.436248
0.053482,0.292642,-0.000002,0.436290
0.055478,0.292771,-0.000002,0.436333
0.057478,0.292903,-0.000002,0.436378
0.059483,0.293039,-0.000002,0.436425
0.061479,0.293177,-0.000002,0.436473
0.063526,0.293319,-0.000002,0.436523
0.065485,0.293463,-0.000002,0.436574
0.067499,0.293609,-0.000002,0.436627
0.069444,0.293757,-0.000002,0.436681
0.071469,0.293908,-0.000002,0.436737
0.073471,0.294060,-0.000002,0.436794
0.075497,0.294213,-0.000002,0.436853
0.077523,0.294368,-0.000002,0.436913
0.079458,0.294524,-0.000002,0.436974
0.081470,0.294681,-0.000002,0.437037
0.083461,0.294839,-0.000002,0.437101
0.085460,0.294997,-0.000002,0.437166
0.087457,0.295156,-0.000002,0.437232
0.089502,0.295315,-0.000002,0.437300
0.091445,0.295475,-0.000002,0.437369
0.093475,0.295634,-0.000002,0.437438
0.095437,0.295714,-0.000002,0.437474
0.097520,0.295953,-0.000002,0.437582
0.099484,0.296111,-0.000002,0.437655
0.101474,0.296269,-0.000002,0.437729
0.103481,0.296427,-0.000002,0.437804
0.105454,0.296583,-0.000002,0.437881
0.107536,0.296739,-0.000002,0.437958
0.109405,0.296894,-0.000002,0.438036
0.111457,0.297047,-0.000002,0.438115
0.113438,0.297199,-0.000002,0.438195
0.115449,0.297349,-0.000002,0.438276
0.117387,0.297498,-0.000002,0.438358
