t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.031770332115923949e-01,-8.724626273892421846e-04,4.834219491558453541e-01,-4.420057604767768655e-03,-1.918732034952724125e-03,3.601212397503383844e-03,3.759656437403362771e-03,1.104060884593969496e-03,-4.257892689020315730e-03
3.333009276437847584e-02,3.034254610889934867e-01,-8.720005243184614230e-04,4.838030813619180748e-01,-4.294747906946921878e-03,-1.881933583251685360e-03,3.459296439197567796e-03,3.817915988182848334e-03,1.193845960763025146e-03,-4.427686697935278269e-03
6.666018552875695169e-02,3.031086696116389589e-01,-8.556997128232879390e-04,4.832369195700749742e-01,-4.165554616662292542e-03,-1.839150041715503781e-03,3.306061980755808927e-03,3.826733864459565693e-03,1.218321798981884634e-03,-4.473170007479813914e-03
9.999027829313542060e-02,3.032161530034844787e-01,-8.508171639612926995e-04,4.833798337193151440e-01,-4.039657117572870160e-03,-1.800720026097824000e-03,3.161114096597292256e-03,3.800543933364488973e-03,1.153458797928688185e-03,-4.352079269483363592e-03
1.333203710575139034e-01,3.032785336619028271e-01,-8.470807162888061015e-04,4.834556723016127933e-01,-3.912209652954024008e-03,-1.762260264245800456e-03,3.015951569216190897e-03,3.817841444464764675e-03,1.176754816118448553e-03,-4.396510519099144920e-03
1.666504638218923862e-01,3.032350797895340122e-01,-8.376065903280549563e-04,4.833450773808749545e-01,-3.785159098565471503e-03,-1.722277331733509942e-03,2.868041889715011727e-03,3.798767790917718674e-03,1.191427805650011008e-03,-4.421349411592276520e-03
1.999805565862708412e-01,3.032577770086746227e-01,-8.296525272417643038e-04,4.833435427945893537e-01,-3.658983087230782694e-03,-1.682839465677050950e-03,2.721223597151989360e-03,3.801518244126129726e-03,1.173712684696703130e-03,-4.389098194500807952e-03
2.333106493506493240e-01,3.032998399304318582e-01,-8.248708876024135606e-04,4.833834023889416187e-01,-3.531749187121069333e-03,-1.644037426414172304e-03,2.575463789765655709e-03,3.819236613117241597e-03,1.172230898441910078e-03,-4.388282500469005941e-03
2.666407421150278068e-01,3.032971839789730950e-01,-8.177840308283279569e-04,4.833454736948148422e-01,-3.404392066022166041e-03,-1.604698336504371782e-03,2.428699871518127940e-03,3.806422531141083650e-03,1.183692241293535577e-03,-4.408081748706686384e-03
2.999708348794062895e-01,3.033044007814176268e-01,-8.092748382697578791e-04,4.833179335700812373e-01,-3.278012354994364053e-03,-1.565132282000595079e-03,2.281620242570940593e-03,3.797333639604497796e-03,1.180644931364163101e-03,-4.401425581132236559e-03
3.333009276437847723e-01,3.033343191968924657e-01,-8.030799548235378893e-04,4.833335845024180344e-01,-3.151261101091540340e-03,-1.525996326336050146e-03,2.135300025688836173e-03,3.812504934888213265e-03,1.173984186339906057e-03,-4.390696230840734036e-03
3.666310204081632551e-01,3.033473563638242609e-01,-7.970256638867301291e-04,4.833236873737405404e-01,-3.023870068705414305e-03,-1.486874278331350163e-03,1.988935617222683389e-03,3.813220965114366874e-03,1.178342088612908001e-03,-4.398939264389701252e-03
3.999611131725416824e-01,3.033535600934520460e-01,-7.891190429814010088e-04,4.832969183375261935e-01,-2.897071084094871019e-03,-1.447447824092770730e-03,1.842065918194885077e-03,3.800497812239389366e-03,1.181528216916360357e-03,-4.403480070839643594e-03
4.332912059369201652e-01,3.033740826776121224e-01,-7.818964237393810635e-04,4.832943670116325308e-01,-2.770528179439901706e-03,-1.408113388184244197e-03,1.695398818728328927e-03,3.805449875577297542e-03,1.177350011863422538e-03,-4.396146651242919916e-03
4.666212987012986479e-01,3.033924779170416031e-01,-7.758192581508449592e-04,4.832924952969701593e-01,-2.643399089368503319e-03,-1.368965453869670779e-03,1.549017966811408464e-03,3.813459627185059476e-03,1.176510726411854899e-03,-4.395500752480623920e-03
4.999513914656771307e-01,3.034022415009021145e-01,-7.687012198835940779e-04,4.832740546871114873e-01,-2.516322253185321323e-03,-1.329686964885057332e-03,1.402393923076179771e-03,3.806108980468796751e-03,1.179812238161297459e-03,-4.400939133239579505e-03
5.332814842300556135e-01,3.034174779328608906e-01,-7.611613896840729865e-04,4.832623947179683910e-01,-2.389683158587785350e-03,-1.290318951184740714e-03,1.255650547688891283e-03,3.802997500920980711e-03,1.179254531113843032e-03,-4.399473572056885468e-03
5.666115769944340963e-01,3.034360111645213465e-01,-7.546200319257234668e-04,4.832590044512983241e-01,-2.262813734208529715e-03,-1.251077639055381274e-03,1.109124198534004735e-03,3.810031049371741252e-03,1.177057403429879797e-03,-4.396094707840973899e-03
5.999416697588125791e-01,3.034492770750540913e-01,-7.479445323873568086e-04,4.832473843677559389e-01,-2.135705781966340533e-03,-1.211856086294108015e-03,9.626060588622253889e-04,3.809412704624586411e-03,1.178256806160047493e-03,-4.398369650517310221e-03
6.332717625231910619e-01,3.034627636610393031e-01,-7.405640112806421982e-04,4.832337364456489870e-01,-2.008877576562650979e-03,-1.172534821756231888e-03,8.159280616064669422e-04,3.804303169711967334e-03,1.179419014058614859e-03,-4.399979473184857659e-03
6.666018552875695447e-01,3.034797419125547790e-01,-7.336158377375667783e-04,4.832265909584052554e-01,-1.882110226865702646e-03,-1.133235796000817142e-03,6.693026108570004906e-04,3.806960776858232982e-03,1.178115933059648186e-03,-4.397743027757982509e-03
6.999319480519480274e-01,3.034949315279694693e-01,-7.270014815006220488e-04,4.832179772916611604e-01,-1.755104864876580462e-03,-1.094001395084091138e-03,5.227736954683225024e-04,3.809678161248878769e-03,1.177753978632276695e-03,-4.397406475936166750e-03
7.332620408163265102e-01,3.035085739022292950e-01,-7.199012890727884972e-04,4.832055658458302982e-01,-1.628156373831998738e-03,-1.054726497277957932e-03,3.761706793257383469e-04,3.806520004568761471e-03,1.178839887509926330e-03,-4.399152747323966522e-03
7.665921335807049930e-01,3.035241657081846345e-01,-7.127793238000668108e-04,4.831958257855812899e-01,-1.501361535153102056e-03,-1.015419709473980477e-03,2.295253571623660435e-04,3.805843334030632307e-03,1.178692327893647845e-03,-4.398739691297342755e-03
7.999222263450833648e-01,3.035399000758676191e-01,-7.060335737739068668e-04,4.831875084102439377e-01,-1.374458151092133873e-03,-9.761546480192449457e-04,8.294987541115038387e-05,3.808479288786237576e-03,1.177957693213816954e-03,-4.397629774002070023e-03
8.332523191094618475e-01,3.035542341587017523e-01,-6.991245747190177884e-04,4.831767391552705959e-01,-1.247487599180183149e-03,-9.368968310993208704e-04,-6.362145945939742808e-05,3.807850886538832139e-03,1.178347119517912439e-03,-4.398352833349340393e-03
8.665824118738403303e-01,3.035691286725648030e-01,-6.920123149053297729e-04,4.831660749031508884e-01,-1.120626104529613698e-03,-8.976058104149045591e-04,-2.102451404808504398e-04,3.806176994894090813e-03,1.178730636587236712e-03,-4.398880795551552564e-03
8.999125046382188131e-01,3.035847172341799016e-01,-6.851192894954810653e-04,4.831570412478028431e-01,-9.937671345452564475e-04,-8.583224281759858909e-04,-3.568516694097498970e-04,3.807352730439758116e-03,1.178298445744550794e-03,-4.398153182409127865e-03
9.332425974025972959e-01,3.035995963713799539e-01,-6.782721095511812237e-04,4.831472189057474109e-01,-8.668272651450800725e-04,-8.190602174133268520e-04,-5.034268476041357104e-04,3.808071335930431154e-03,1.178188502636500282e-03,-4.398053286773868399e-03
9.665726901669757787e-01,3.036143342797293365e-01,-6.712403741102324073e-04,4.831366283540666773e-01,-7.399203927853925666e-04,-7.797841640023884385e-04,-6.500267174714552398e-04,3.806903722227654788e-03,1.178544279215285560e-03,-4.398620745731118137e-03
9.999027829313542615e-01,3.036296229674170788e-01,-6.642637924010597050e-04,4.831269150872828932e-01,-6.130583567312691828e-04,-7.404982371069807751e-04,-7.966397225852113115e-04,3.806874828122216222e-03,1.178482676189131608e-03,-4.398472961422795167e-03
1.033232875695732744e+00,3.036447489323988447e-01,-6.573969104377991313e-04,4.831173417253876723e-01,-4.861534104580109150e-04,-7.012262901651949293e-04,-9.432297411231197609e-04,3.807723527464789998e-03,1.178248142241514369e-03,-4.398123246668800279e-03
1.066562968460111227e+00,3.036595743166431438e-01,-6.504367235454500129e-04,4.831071072898023289e-01,-3.592347999482534138e-04,-6.619559973462482184e-04,-1.089819434186492433e-03,3.807368317105796259e-03,1.178383383381023186e-03,-4.398373076661717465e-03
1.099893061224489710e+00,3.036746506798525536e-01,-6.434415291891315558e-04,4.830970684729954945e-01,-2.323535320634274176e-04,-6.226750352050115919e-04,-1.236426106438079375e-03,3.806887503287783962e-03,1.178495197194495215e-03,-4.398534961255430240e-03
1.133223153988868193e+00,3.036898125713274332e-01,-6.365322600740339065e-04,4.830873967535487257e-01,-1.054669726919834054e-04,-5.833972888565141591e-04,-1.383026590758503187e-03,3.807315401930259826e-03,1.178347638356369445e-03,-4.398302447226909787e-03
1.166553246753246675e+00,3.037047600553048898e-01,-6.296079932993983719e-04,4.830774312997114794e-01,2.144281899573753647e-05,-5.441261630148033985e-04,-1.529617763581810888e-03,3.807429191614509611e-03,1.178318225759093741e-03,-4.398297551185701044e-03
1.199883339517625158e+00,3.037197452790373342e-01,-6.226298216788390960e-04,4.830673462307789601e-01,1.483369636086449145e-04,-5.048503773154972528e-04,-1.676217921531219417e-03,3.807002304466582457e-03,1.178424381677636293e-03,-4.398497746730222271e-03
1.233213432282003641e+00,3.037348523493555996e-01,-6.156909623047206181e-04,4.830575181177090283e-01,2.752182989198851890e-04,-4.655721751005614719e-04,-1.822822439426666913e-03,3.806994858921140118e-03,1.178385442096667110e-03,-4.398468267008705072e-03
1.266543525046382124e+00,3.037498662884804412e-01,-6.087757182577559906e-04,4.830476639695979735e-01,4.021119472113520235e-04,-4.262989851209471413e-04,-1.969420632252369754e-03,3.807142465952980531e-03,1.178299773512744364e-03,-4.398408678856246742e-03
1.299873617810760607e+00,3.037648254773668843e-01,-6.018257058893385775e-04,4.830376533014755225e-01,5.290031220347201149e-04,-3.870264935897096362e-04,-2.116021177990519073e-03,3.806850970378181966e-03,1.178326106562273701e-03,-4.398566082885786363e-03
1.333203710575139089e+00,3.037798510560519860e-01,-5.948831605162808664e-04,4.830277408157830354e-01,6.558773391770900824e-04,-3.477515482441281402e-04,-2.262629863398034000e-03,3.806528938950555323e-03,1.178325038522777014e-03,-4.398717084468288172e-03
1.366533803339517572e+00,3.037948490408306501e-01,-5.879736428679397525e-04,4.830179092245503458e-01,7.827470473257464902e-04,-3.084791279086016372e-04,-2.409240474929688017e-03,3.806378125308418174e-03,1.178233386988474787e-03,-4.398803798681054193e-03
1.399863896103896055e+00,3.038097649608517692e-01,-5.810596503835457199e-04,4.830079999654951495e-01,9.096112112027513082e-04,-2.692102920713007174e-04,-2.555854940722713901e-03,3.805959936554062419e-03,1.178168913681129507e-03,-4.399055143578367751e-03
1.433193988868274538e+00,3.038246653286242882e-01,-5.741487735624068584e-04,4.829981061323409541e-01,1.036453042811456317e-03,-2.299421695384035137e-04,-2.702482306951854533e-03,3.805231177444157089e-03,1.178118654125620340e-03,-4.399485641619034666e-03
1.466524081632653020e+00,3.038395229002808229e-01,-5.672757266349318095e-04,4.829883117518138924e-01,1.163268627470989084e-03,-1.906766840123974246e-04,-2.849125469824141058e-03,3.804401125429810425e-03,1.177990768795254307e-03,-4.400020788978413130e-03
1.499854174397031503e+00,3.038542577968539327e-01,-5.604343925789678771e-04,4.829785397496137445e-01,1.290055127658419230e-03,-1.514170863393488281e-04,-2.995788509075543102e-03,3.803251803899977516e-03,1.177816188139033798e-03,-4.400820435930115522e-03
1.533184267161409986e+00,3.038688588418112513e-01,-5.536257394816151284e-04,4.829687998404109672e-01,1.416794098331541126e-03,-1.121632383922761242e-04,-3.142484976561987602e-03,3.801516156545176571e-03,1.177628934106863048e-03,-4.402075908248176406e-03
1.566514359925788469e+00,3.038832909734315857e-01,-5.468861529366302737e-04,4.829591872426268750e-01,1.543464899944287745e-03,-7.291612310775304087e-05,-3.289231705831037814e-03,3.799181449125168478e-03,1.177371735926664633e-03,-4.403886418101499688e-03
