time,q1,q2,q3,q4,q5,q6,q7
0.009041,-0.000001,-0.781006,0.000000,-2.436566,-0.000010,1.571040,0.785398
0.011050,-0.000001,-0.781006,0.000000,-2.436566,-0.000010,1.571040,0.785398
0.012997,-0.000001,-0.781006,0.000000,-2.436566,-0.000010,1.571047,0.785398
0.015052,-0.000001,-0.781006,0.000000,-2.436566,-0.000010,1.571079,0.785398
0.017073,-0.000001,-0.781006,0.000000,-2.436566,-0.000010,1.571138,0.785398
0.019028,-0.000001,-0.781006,0.000000,-2.436566,-0.000010,1.571222,0.785398
0.021096,-0.000001,-0.781006,-0.000000,-2.436566,-0.000010,1.571330,0.785398
0.023032,-0.000001,-0.781006,-0.000000,-2.436566,-0.000010,1.571463,0.785398
0.025032,-0.000001,-0.781006,-0.000000,-2.436566,-0.000010,1.571619,0.785398
0.027024,-0.000001,-0.781006,-0.000000,-2.436566,-0.000010,1.571799,0.785398
0.029029,-0.000001,-0.781006,-0.000000,-2.436566,-0.000010,1.572000,0.785398
0.031072,-0.000001,-0.781006,-0.000000,-2.436566,-0.000010,1.572224,0.785398
0.033005,-0.000001,-0.781006,-0.000000,-2.436565,-0.000010,1.572468,0.785398
0.035001,-0.000001,-0.781006,-0.000000,-2.436565,-0.000010,1.572733,0.785398
0.037044,-0.000001,-0.781006,-0.000000,-2.436564,-0.000010,1.573017,0.785398
0.039035,-0.000001,-0.781006,-0.000000,-2.436563,-0.000010,1.573320,0.785398
0.041033,-0.000001,-0.781006,-0.000000,-2.436561,-0.000010,1.573640,0.785398
0.043031,-0.000001,-0.781006,-0.000000,-2.436559,-0.000010,1.573977,0.785398
0.045028,-0.000001,-0.781006,-0.000000,-2.436557,-0.000010,1.574330,0.785398
0.047028,-0.000001,-0.781006,-0.000000,-2.436554,-0.000010,1.574697,0.785398
0.049012,-0.000001,-0.781006,-0.000000,-2.436550,-0.000010,1.575079,0.785398
0.051122,-0.000001,-0.781006,-0.000000,-2.436545,-0.000010,1.575474,0.785398
0.052992,-0.000001,-0.781006,-0.000000,-2.436540,-0.000010,1.575881,0.785398
0.054990,-0.000001,-0.781006,-0.000000,-2.436534,-0.000010,1.576300,0.785398
0.056990,-0.000001,-0.781006,-0.000000,-2.436527,-0.000010,1.576730,0.785398
0.058995,-0.000001,-0.781006,-0.000000,-2.436519,-0.000010,1.577170,0.785398
0.060993,-0.000001,-0.781006,-0.000000,-2.436510,-0.000010,1.577618,0.785398
0.062991,-0.000001,-0.781006,-0.000000,-2.436500,-0.000010,1.578075,0.785398
0.064991,-0.000001,-0.781006,-0.000000,-2.436488,-0.000010,1.578540,0.785398
0.067068,-0.000001,-0.781006,-0.000000,-2.436476,-0.000010,1.579011,0.785398
0.069030,-0.000001,-0.781006,-0.000000,-2.436462,-0.000010,1.579488,0.785398
0.070956,-0.000001,-0.781006,-0.000000,-2.436448,-0.000010,1.579970,0.785398
0.072994,-0.000001,-0.781006,-0.000000,-2.436431,-0.000010,1.580457,0.785398
0.074958,-0.000001,-0.781006,-0.000000,-2.436414,-0.000010,1.580948,0.785398
0.076985,-0.000001,-0.781006,-0.000000,-2.436395,-0.000010,1.581443,0.785398
0.078992,-0.000001,-0.781006,-0.000000,-2.436374,-0.000010,1.581940,0.785398
0.081047,-0.000001,-0.781006,-0.000000,-2.436352,-0.000010,1.582439,0.785398
0.082990,-0.000001,-0.781006,-0.000000,-2.436329,-0.000010,1.582940,0.785398
0.084951,-0.000001,-0.781006,-0.000000,-2.436303,-0.000010,1.583442,0.785398
0.087017,-0.000001,-0.781006,-0.000000,-2.436277,-0.000010,1.583945,0.785398
0.089022,-0.000001,-0.781006,-0.000000,-2.436248,-0.000010,1.584448,0.785398
0.091114,-0.000001,-0.781006,-0.000000,-2.436218,-0.000010,1.584950,0.785398
0.093249,-0.000001,-0.781006,-0.000000,-2.436186,-0.000010,1.585451,0.785398
0.095076,-0.000001,-0.781006,-0.000000,-2.436169,-0.000010,1.585700,0.785398
0.096992,-0.000001,-0.781006,-0.000000,-2.436135,-0.000010,1.586199,0.785398
0.099043,-0.000001,-0.781006,-0.000000,-2.436098,-0.000010,1.586695,0.785398
0.101017,-0.000001,-0.781006,-0.000000,-2.436060,-0.000010,1.587189,0.785398
0.103034,-0.000001,-0.781006,-0.000000,-2.436019,-0.000010,1.587679,0.785398
0.105058,-0.000001,-0.781006,-0.000000,-2.435977,-0.000010,1.588166,0.785398
0.107000,-0.000001,-0.781006,-0.000000,-2.435933,-0.000010,1.588649,0.785398
0.109032,-0.000001,-0.781006,-0.000000,-2.435887,-0.000010,1.589128,0.785398
0.111087,-0.000001,-0.781006,-0.000000,-2.435839,-0.000010,1.589601,0.785398
0.113096,-0.000001,-0.781006,-0.000000,-2.435789,-0.000010,1.590070,0.785398
0.114992,-0.000001,-0.781006,-0.000000,-2.435736,-0.000010,1.590532,0.785398
0.117045,-0.000001,-0.781006,-0.000000,-2.435682,-0.000010,1.590989,0.785398
0.119030,-0.000001,-0.781006,-0.000000,-2.435625,-0.000010,1.591439,0.785398
0.121041,-0.000001,-0.781006,-0.000000,-2.435566,-0.000010,1.591881,0.785398
0.123030,-0.000001,-0.781006,-0.000000,-2.435505,-0.000010,1.592317,0.785398
0.125028,-0.000001,-0.781006,-0.000000,-2.435442,-0.000010,1.592744,0.785398
0.127023,-0.000001,-0.781006,-0.000000,-2.435377,-0.000010,1.593164,0.785398
0.128999,-0.000001,-0.781006,-0.000000,-2.435309,-0.000010,1.593575,0.785398
0.130999,-0.000001,-0.781006,-0.000000,-2.435239,-0.000010,1.593977,0.785398
0.133020,-0.000001,-0.781006,-0.000000,-2.435166,-0.000010,1.594371,0.785398
0.135001,-0.000001,-0.781006,-0.000000,-2.435092,-0.000010,1.594755,0.785398
0.137113,-0.000001,-0.781006,-0.000000,-2.435015,-0.000010,1.595130,0.785398
0.139185,-0.000001,-0.781006,-0.000000,-2.434935,-0.000010,1.595495,0.785398
0.141057,-0.000001,-0.781006,-0.000000,-2.434854,-0.000010,1.595851,0.785398
0.143346,-0.000001,-0.781006,-0.000000,-2.434770,-0.000010,1.596196,0.785398
0.145082,-0.000001,-0.781006,-0.000000,-2.434727,-0.000010,1.596365,0.785398
0.146995,-0.000001,-0.781006,-0.000000,-2.434639,-0.000010,1.596694,0.785398
0.149039,-0.000001,-0.781006,-0.000000,-2.434549,-0.000010,1.597013,0.785398
0.151202,-0.000001,-0.781006,-0.000000,-2.434456,-0.000010,1.597321,0.785398
0.153080,-0.000001,-0.781006,-0.000000,-2.434361,-0.000010,1.597618,0.785398
0.155041,-0.000001,-0.781006,-0.000000,-2.434264,-0.000010,1.597904,0.785398
0.157024,-0.000001,-0.781006,-0.000000,-2.434164,-0.000010,1.598178,0.785398
0.159029,-0.000001,-0.781006,-0.000000,-2.434062,-0.000010,1.598441,0.785398
0.161022,-0.000001,-0.781006,-0.000000,-2.433957,-0.000010,1.598693,0.785398
0.163007,-0.000001,-0.781006,-0.000000,-2.433850,-0.000010,1.598932,0.785398
0.164999,-0.000001,-0.781006,-0.000000,-2.433740,-0.000010,1.599160,0.785398
0.166994,-0.000001,-0.781006,-0.000000,-2.433628,-0.000010,1.599375,0.785398
0.168991,-0.000001,-0.781006,-0.000000,-2.433514,-0.000010,1.599579,0.785398
0.170993,-0.000001,-0.781006,-0.000000,-2.433397,-0.000010,1.599770,0.785398
0.172995,-0.000001,-0.781006,-0.000000,-2.433277,-0.000010,1.599949,0.785398
0.175042,-0.000001,-0.781006,-0.000000,-2.433156,-0.000010,1.600116,0.785398
0.177026,-0.000001,-0.781006,-0.000000,-2.433031,-0.000010,1.600271,0.785398
0.179007,-0.000001,-0.781006,-0.000000,-2.432905,-0.000010,1.600414,0.785398
0.181019,-0.000001,-0.781006,-0.000000,-2.432776,-0.000010,1.600544,0.785398
