time,x,y,z
0.009041,0.295660,-0.000002,0.448120
0.011050,0.295660,-0.000002,0.448120
0.012997,0.295661,-0.000002,0.448121
0.015052,0.295668,-0.000002,0.448123
0.017073,0.295681,-0.000002,0.448127
0.019028,0.295699,-0.000002,0.448133
0.021096,0.295723,-0.000002,0.448140
0.023032,0.295752,-0.000002,0.448150
0.025032,0.295785,-0.000002,0.448161
0.027024,0.295824,-0.000002,0.448173
0.029029,0.295868,-0.000002,0.448187
0.031072,0.295917,-0.000002,0.448203
0.033005,0.295970,-0.000002,0.448221
0.035001,0.296027,-0.000002,0.448239
0.037044,0.296089,-0.000002,0.448260
0.039035,0.296155,-0.000002,0.448282
0.041033,0.296225,-0.000002,0.448305
0.043031,0.296298,-0.000002,0.448330
0.045028,0.296375,-0.000002,0.448356
0.047028,0.296455,-0.000002,0.448383
0.049012,0.296539,-0.000002,0.448412
0.051122,0.296625,-0.000002,0.448442
0.052992,0.296714,-0.000002,0.448473
0.054990,0.296806,-0.000002,0.448506
0.056990,0.296900,-0.000002,0.448540
0.058995,0.296997,-0.000002,0.448575
0.060993,0.297096,-0.000002,0.448611
0.062991,0.297196,-0.000002,0.448648
0.064991,0.297299,-0.000002,0.448686
0.067068,0.297403,-0.000002,0.448726
0.069030,0.297508,-0.000002,0.448766
0.070956,0.297615,-0.000002,0.448808
0.072994,0.297723,-0.000002,0.448850
0.074958,0.297833,-0.000002,0.448894
0.076985,0.297943,-0.000002,0.448938
0.078992,0.298054,-0.000002,0.448984
0.081047,0.298165,-0.000002,0.449030
0.082990,0.298278,-0.000002,0.449077
0.084951,0.298390,-0.000002,0.449125
0.087017,0.298503,-0.000002,0.449174
0.089022,0.298617,-0.000002,0.449224
0.091114,0.298730,-0.000002,0.449275
0.093249,0.298844,-0.000002,0.449326
0.095076,0.298901,-0.000002,0.449352
0.096992,0.299014,-0.000002,0.449405
0.099043,0.299127,-0.000002,0.449458
0.101017,0.299240,-0.000002,0.449512
0.103034,0.299353,-0.000002,0.449567
0.105058,0.299465,-0.000002,0.449622
0.107000,0.299576,-0.000002,0.449678
0.109032,0.299687,-0.000002,0.449735
0.111087,0.299797,-0.000002,0.449793
0.113096,0.299907,-0.000002,0.449851
0.114992,0.300015,-0.000002,0.449909
0.117045,0.300123,-0.000002,0.449968
0.119030,0.300229,-0.000002,0.450028
0.121041,0.300334,-0.000002,0.450089
0.123030,0.300438,-0.000002,0.450149
0.125028,0.300541,-0.000002,0.450211
0.127023,0.300642,-0.000002,0.450273
0.128999,0.300741,-0.000002,0.450335
0.130999,0.300840,-0.000002,0.450398
0.133020,0.300936,-0.000002,0.450461
0.135001,0.301031,-0.000002,0.450525
0.137113,0.301125,-0.000002,0.450589
0.139185,0.301216,-0.000002,0.450653
0.141057,0.301306,-0.000002,0.450718
0.143346,0.301395,-0.000002,0.450783
0.145082,0.301438,-0.000002,0.450816
0.146995,0.301523,-0.000002,0.450882
0.149039,0.301607,-0.000002,0.450948
0.151202,0.301688,-0.000002,0.451014
0.153080,0.301768,-0.000002,0.451081
0.155041,0.301845,-0.000002,0.451148
0.157024,0.301920,-0.000002,0.451216
0.159029,0.301994,-0.000002,0.451283
0.161022,0.302065,-0.000002,0.451351
0.163007,0.302134,-0.000002,0.451420
0.164999,0.302201,-0.000002,0.451488
0.166994,0.302265,-0.000002,0.451557
0.168991,0.302328,-0.000002,0.451626
0.170993,0.302388,-0.000002,0.451695
0.172995,0.302446,-0.000002,0.451765
0.175042,0.302502,-0.000002,0.451834
0.177026,0.302556,-0.000002,0.451904
0.179007,0.302607,-0.000002,0.451974
0.181019,0.302656,-0.000002,0.452045
0.183148,0.302703,-0.000002,0.452115
0.185037,0.302748,-0.000002,0.452186
0.187043,0.302790,-0.000002,0.452257
0.189097,0.302830,-0.000002,0.452328
0.191072,0.302868,-0.000002,0.452399
0.193119,0.302904,-0.000002,0.452470
0.195066,0.302938,-0.000002,0.452542
0.196997,0.302970,-0.000002,0.452614
0.198981,0.302999,-0.000002,0.452686
0.201069,0.303026,-0.000002,0.452758
0.203036,0.303052,-0.000002,0.452830
0.205266,0.303077,-0.000002,0.452903
0.207299,0.303103,-0.000002,0.452976
0.208977,0.303116,-0.000002,0.453013
0.211045,0.303154,-0.000002,0.453123
0.213142,0.303180,-0.000002,0.453198
0.215131,0.303206,-0.000002,0.453272
0.217170,0.303232,-0.000002,0.453347
0.219098,0.303258,-0.000002,0.453423
0.221161,0.303284,-0.000002,0.453498
0.223098,0.303310,-0.000002,0.453574
0.224953,0.303337,-0.000002,0.453650
0.227308,0.303363,-0.000002,0.453727
0.229050,0.303377,-0.000002,0.453765
0.231226,0.303417,-0.000002,0.453881
0.233222,0.303444,-0.000002,0.453959
0.235134,0.303470,-0.000002,0.454037
0.237080,0.303497,-0.000002,0.454115
0.239041,0.303525,-0.000002,0.454193
0.241048,0.303552,-0.000002,0.454272
0.242986,0.303565,-0.000002,0.454311
0.244977,0.303593,-0.000002,0.454391
0.247033,0.303620,-0.000002,0.454470
0.249036,0.303647,-0.000002,0.454550
0.251030,0.303675,-0.000002,0.454630
0.252998,0.303702,-0.000002,0.454710
0.255024,0.303730,-0.000002,0.454790
0.257026,0.303758,-0.000002,0.454871
0.259027,0.303786,-0.000002,0.454952
0.260995,0.303813,-0.000002,0.455033
0.263077,0.303841,-0.000002,0.455114
0.265007,0.303869,-0.000002,0.455195
0.267023,0.303897,-0.000002,0.455277
0.269023,0.303925,-0.000002,0.455359
0.271020,0.303953,-0.000002,0.455441
0.273022,0.303982,-0.000002,0.455523
0.275025,0.304010,-0.000002,0.455606
0.277004,0.304038,-0.000002,0.455688
0.279028,0.304066,-0.000002,0.455771
0.281064,0.304095,-0.000002,0.455854
0.283043,0.304123,-0.000002,0.455937
0.285033,0.304137,-0.000002,0.455979
0.287033,0.304180,-0.000002,0.456104
0.289076,0.304208,-0.000002,0.456187
0.291041,0.304237,-0.000002,0.456271
0.293037,0.304265,-0.000002,0.456355
0.295044,0.304294,-0.000002,0.456439
0.297035,0.304322,-0.000002,0.456523
0.299052,0.304351,-0.000002,0.456607
0.301025,0.304379,-0.000002,0.456691
0.303016,0.304408,-0.000002,0.456775
0.305035,0.304436,-0.000002,0.456860
0.307058,0.304465,-0.000002,0.456944
0.309032,0.304494,-0.000002,0.457029
0.311024,0.304522,-0.000002,0.457113
0.313024,0.304551,-0.000002,0.457198
0.315024,0.304579,-0.000002,0.457283
0.317076,0.304608,-0.000002,0.457368
0.319060,0.304637,-0.000002,0.457453
0.321063,0.304665,-0.000002,0.457537
0.323015,0.304694,-0.000002,0.457622
0.325029,0.304723,-0.000002,0.457707
0.326991,0.304751,-0.000002,0.457792
0.328999,0.304780,-0.000002,0.457877
0.331085,0.304808,-0.000002,0.457962
0.333052,0.304837,-0.000002,0.458047
0.335028,0.304866,-0.000002,0.458132
0.337052,0.304894,-0.000002,0.458217
0.339074,0.304923,-0.000002,0.458302
0.341013,0.304951,-0.000002,0.458387
0.343025,0.304980,-0.000002,0.458472
0.345003,0.305008,-0.000002,0.458557
0.347018,0.305036,-0.000002,0.458642
0.349105,0.305065,-0.000002,0.458727
0.351027,0.305093,-0.000002,0.458812
0.353057,0.305122,-0.000002,0.458897
0.355035,0.305150,-0.000002,0.458982
0.357011,0.305178,-0.000002,0.459066
0.359005,0.305206,-0.000002,0.459151
0.361065,0.305234,-0.000002,0.459236
0.362996,0.305263,-0.000002,0.459320
0.365087,0.305291,-0.000002,0.459405
0.367094,0.305319,-0.000002,0.459489
0.369028,0.305347,-0.000002,0.459573
0.371194,0.305375,-0.000002,0.459657
0.373004,0.305403,-0.000002,0.459741
0.375004,0.305431,-0.000002,0.459825
0.377122,0.305458,-0.000002,0.459909
0.379107,0.305486,-0.000002,0.459993
0.381098,0.305514,-0.000002,0.460077
0.382992,0.305542,-0.000002,0.460160
0.384999,0.305555,-0.000002,0.460202
0.387016,0.305597,-0.000002,0.460327
0.389195,0.305624,-0.000002,0.460410
0.391039,0.305652,-0.000002,0.460493
0.393004,0.305665,-0.000002,0.460535
0.395089,0.305706,-0.000002,0.460659
0.396990,0.305733,-0.000002,0.460741
0.399247,0.305761,-0.000002,0.460824
0.401198,0.305788,-0.000002,0.460906
0.403070,0.305815,-0.000002,0.460988
0.405000,0.305828,-0.000002,0.461029
0.407060,0.305855,-0.000002,0.461111
0.409020,0.305882,-0.000002,0.461193
0.411176,0.305922,-0.000002,0.461315
0.413026,0.305935,-0.000002,0.461355
0.415029,0.305962,-0.000002,0.461437
