t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.053710435401564283e-01,-4.228635129730262676e-03,4.863026924223881053e-01,-7.751016687175260600e-04,-2.506835820626968081e-03,1.770401226282580787e-03,8.386877776322507628e-04,3.794972458405560661e-03,-1.873679975475457627e-03
3.326155619596541518e-02,3.056082120740555297e-01,-4.229867950247934161e-03,4.866793730442999788e-01,-7.472056080709416070e-04,-2.380609130939570495e-03,1.708079714485048750e-03,9.789147083790897610e-04,3.851361710339424194e-03,-2.042846186015533343e-03
6.652311239193083037e-02,3.052912808935115407e-01,-4.239195037388676646e-03,4.861461381869034426e-01,-7.099812155499096722e-04,-2.250631252708079622e-03,1.634504739850842214e-03,1.022076734664318981e-03,3.863136861322466128e-03,-2.091960162679921964e-03
9.978466858789625249e-02,3.053905804191927587e-01,-4.243265601715839885e-03,4.862944247963447708e-01,-6.792138825776894429e-04,-2.123621243328405184e-03,1.568916013463650394e-03,9.105199381365358365e-04,3.830226746590433950e-03,-1.961943310147631816e-03
1.330462247838616607e-01,3.054439950104068657e-01,-4.244864343621257419e-03,4.863736577058155319e-01,-6.494105953701589939e-04,-1.995832648358064620e-03,1.503990164523294482e-03,9.448668494294622505e-04,3.846151374240225958e-03,-2.005498374823058965e-03
1.663077809798270690e-01,3.053954438472459287e-01,-4.251098435015476795e-03,4.862798906708043489e-01,-6.163583989576837396e-04,-1.867763283183443423e-03,1.435504019673461418e-03,9.865541360795260662e-04,3.841184141931106716e-03,-2.046729801973237121e-03
1.995693371757925050e-01,3.054122693477516748e-01,-4.257205559289101160e-03,4.862912011397710899e-01,-5.837819436950164587e-04,-1.740305123966279233e-03,1.367835327870714490e-03,9.502893267511801443e-04,3.836797823695334893e-03,-2.005685790785732576e-03
2.328308933717579132e-01,3.054463495833772413e-01,-4.259878039684972251e-03,4.863368404813073198e-01,-5.531421952693627020e-04,-1.612527550332643056e-03,1.302079558390123459e-03,9.353136410906712260e-04,3.845279206850525482e-03,-1.994522092786992374e-03
2.660924495677233215e-01,3.054367921741452108e-01,-4.263994689931438486e-03,4.863100835723130899e-01,-5.215619692270356822e-04,-1.484505183110607085e-03,1.235153510524056308e-03,9.658845053035253377e-04,3.842762401501269298e-03,-2.026443355495212428e-03
2.993540057636887575e-01,3.054382492817033778e-01,-4.270233163999215265e-03,4.862967298879965483e-01,-4.888885517654317781e-04,-1.356895035202088096e-03,1.167274239296633986e-03,9.664899129164601557e-04,3.837015693696032952e-03,-2.023221214985930494e-03
3.326155619596541380e-01,3.054613539032580150e-01,-4.274496773763791779e-03,4.863214356409955030e-01,-4.572680521244265606e-04,-1.229254956869263449e-03,1.100562538245808408e-03,9.436226543874560871e-04,3.842276071453486295e-03,-2.001116440102473828e-03
3.658771181556195740e-01,3.054670259887899419e-01,-4.277873465385439999e-03,4.863203328712657481e-01,-4.261158358720429362e-04,-1.101294872259961366e-03,1.034153745442356609e-03,9.509896184241789030e-04,3.844373147876598441e-03,-2.011297603462797092e-03
