time,q1,q2,q3,q4,q5,q6,q7
0.007332,-0.000001,-0.780700,0.000000,-2.448779,-0.000010,1.571040,0.785398
0.009436,-0.000001,-0.780700,0.000000,-2.448779,-0.000010,1.571040,0.785398
0.011330,-0.000001,-0.780700,0.000000,-2.448779,-0.000010,1.571053,0.785398
0.013366,-0.000001,-0.780699,0.000000,-2.448779,-0.000010,1.571116,0.785398
0.015362,-0.000001,-0.780698,0.000000,-2.448779,-0.000010,1.571228,0.785398
0.017357,-0.000001,-0.780697,0.000000,-2.448780,-0.000010,1.571389,0.785398
0.019397,-0.000001,-0.780695,0.000000,-2.448781,-0.000010,1.571598,0.785398
0.021499,-0.000001,-0.780692,0.000000,-2.448782,-0.000010,1.571852,0.785398
0.023347,-0.000001,-0.780689,0.000000,-2.448783,-0.000010,1.572151,0.785398
0.025334,-0.000001,-0.780685,0.000000,-2.448783,-0.000010,1.572493,0.785398
0.027391,-0.000001,-0.780681,0.000000,-2.448783,-0.000010,1.572877,0.785398
0.029410,-0.000001,-0.780676,0.000000,-2.448783,-0.000010,1.573301,0.785398
0.031413,-0.000001,-0.780671,0.000000,-2.448783,-0.000010,1.573766,0.785398
0.033344,-0.000001,-0.780666,0.000000,-2.448783,-0.000010,1.574269,0.785398
0.035334,-0.000001,-0.780660,0.000000,-2.448783,-0.000010,1.574810,0.785398
0.037360,-0.000001,-0.780654,0.000000,-2.448783,-0.000010,1.575388,0.785398
0.039347,-0.000001,-0.780648,0.000000,-2.448783,-0.000010,1.576000,0.785398
0.041349,-0.000001,-0.780642,0.000000,-2.448783,-0.000010,1.576645,0.785398
0.043337,-0.000001,-0.780635,0.000000,-2.448783,-0.000010,1.577323,0.785398
0.045330,-0.000001,-0.780628,0.000000,-2.448783,-0.000010,1.578031,0.785398
0.047328,-0.000001,-0.780622,0.000000,-2.448783,-0.000010,1.578769,0.785398
0.049295,-0.000001,-0.780615,0.000000,-2.448783,-0.000010,1.579535,0.785398
0.051309,-0.000001,-0.780608,0.000000,-2.448783,-0.000010,1.580327,0.785398
0.053380,-0.000001,-0.780602,0.000000,-2.448783,-0.000010,1.581145,0.785398
