time,x,y,z
0.007332,0.293615,-0.000002,0.442431
0.009436,0.293615,-0.000002,0.442431
0.011330,0.293618,-0.000002,0.442432
0.013366,0.293631,-0.000002,0.442436
0.015362,0.293656,-0.000002,0.442443
0.017357,0.293691,-0.000002,0.442453
0.019397,0.293737,-0.000002,0.442466
0.021499,0.293792,-0.000002,0.442482
0.023347,0.293858,-0.000002,0.442501
0.025334,0.293932,-0.000002,0.442522
0.027391,0.294016,-0.000002,0.442547
0.029410,0.294109,-0.000002,0.442574
0.031413,0.294211,-0.000002,0.442604
0.033344,0.294321,-0.000002,0.442637
0.035334,0.294440,-0.000002,0.442672
0.037360,0.294566,-0.000002,0.442709
0.039347,0.294700,-0.000002,0.442749
0.041349,0.294841,-0.000002,0.442792
0.043337,0.294989,-0.000002,0.442836
0.045330,0.295144,-0.000002,0.442883
0.047328,0.295305,-0.000002,0.442931
0.049295,0.295472,-0.000002,0.442982
0.051309,0.295645,-0.000002,0.443035
0.053380,0.295824,-0.000002,0.443090
0.055311,0.296007,-0.000002,0.443146
0.057469,0.296101,-0.000002,0.443175
0.059404,0.296389,-0.000002,0.443265
0.061440,0.296587,-0.000002,0.443327
0.063363,0.296687,-0.000002,0.443358
0.065364,0.296891,-0.000002,0.443422
0.067712,0.297099,-0.000002,0.443488
0.070835,0.297099,-0.000002,0.443488
0.073021,0.297204,-0.000002,0.443521
0.074032,0.297204,-0.000002,0.443521
0.075375,0.297962,-0.000002,0.443765
0.077400,0.298186,-0.000002,0.443837
0.079380,0.298412,-0.000002,0.443911
0.081361,0.298640,-0.000002,0.443986
0.083436,0.298870,-0.000002,0.444062
0.085406,0.299102,-0.000002,0.444139
0.087406,0.299334,-0.000002,0.444217
0.089382,0.299568,-0.000002,0.444296
0.091384,0.299802,-0.000002,0.444376
0.093357,0.300037,-0.000002,0.444457
0.095376,0.300272,-0.000002,0.444539
0.097379,0.300507,-0.000002,0.444621
0.099352,0.300742,-0.000002,0.444704
0.101363,0.300976,-0.000002,0.444788
0.103352,0.301210,-0.000002,0.444872
0.105327,0.301443,-0.000002,0.444957
0.107362,0.301675,-0.000002,0.445043
0.109361,0.301905,-0.000002,0.445129
0.111359,0.302134,-0.000002,0.445216
0.113327,0.302362,-0.000002,0.445303
0.115325,0.302587,-0.000002,0.445391
0.117324,0.302811,-0.000002,0.445479
0.119362,0.303032,-0.000002,0.445567
0.121330,0.303252,-0.000002,0.445656
0.123417,0.303468,-0.000002,0.445744
0.125392,0.303682,-0.000002,0.445834
0.127363,0.303894,-0.000002,0.445923
0.129349,0.304102,-0.000002,0.446013
0.131346,0.304308,-0.000002,0.446102
0.133397,0.304510,-0.000002,0.446192
0.135327,0.304709,-0.000002,0.446282
0.137365,0.304905,-0.000002,0.446372
0.139430,0.305097,-0.000002,0.446462
0.141326,0.305286,-0.000002,0.446552
0.143379,0.305471,-0.000002,0.446642
0.145486,0.305652,-0.000002,0.446732
0.147392,0.305829,-0.000002,0.446821
0.149505,0.306003,-0.000002,0.446911
0.151365,0.306088,-0.000002,0.446956
0.153490,0.306337,-0.000002,0.447090
0.155300,0.306418,-0.000002,0.447135
0.157362,0.306577,-0.000002,0.447224
0.159399,0.306732,-0.000002,0.447313
0.161404,0.306883,-0.000002,0.447401
0.163403,0.307029,-0.000002,0.447490
0.165344,0.307171,-0.000002,0.447578
0.167372,0.307308,-0.000002,0.447665
0.169349,0.307442,-0.000002,0.447753
0.171384,0.307570,-0.000002,0.447840
0.173404,0.307694,-0.000002,0.447927
0.175377,0.307814,-0.000002,0.448013
0.177350,0.307929,-0.000002,0.448100
0.179346,0.308040,-0.000002,0.448185
0.181349,0.308146,-0.000002,0.448271
0.183399,0.308248,-0.000002,0.448356
0.185361,0.308345,-0.000002,0.448441
0.187393,0.308438,-0.000002,0.448525
0.189405,0.308526,-0.000002,0.448609
0.191359,0.308610,-0.000002,0.448692
0.193348,0.308690,-0.000002,0.448775
0.195351,0.308765,-0.000002,0.448858
0.197362,0.308835,-0.000002,0.448940
0.199372,0.308902,-0.000002,0.449022
0.201404,0.308964,-0.000002,0.449103
0.203348,0.309022,-0.000002,0.449184
0.205338,0.309075,-0.000002,0.449265
0.207332,0.309125,-0.000002,0.449345
0.209339,0.309170,-0.000002,0.449425
0.211330,0.309211,-0.000002,0.449504
0.213628,0.309248,-0.000002,0.449583
0.215328,0.309282,-0.000002,0.449662
0.217358,0.309311,-0.000002,0.449740
0.219343,0.309339,-0.000002,0.449819
0.221336,0.309366,-0.000002,0.449897
0.223422,0.309393,-0.000002,0.449975
0.225347,0.309421,-0.000002,0.450054
0.227417,0.309448,-0.000002,0.450132
0.229354,0.309476,-0.000002,0.450211
0.231381,0.309503,-0.000002,0.450290
0.233476,0.309531,-0.000002,0.450369
0.235288,0.309545,-0.000002,0.450408
0.237315,0.309586,-0.000002,0.450526
0.239450,0.309600,-0.000002,0.450566
0.241314,0.309627,-0.000002,0.450645
0.243481,0.309669,-0.000002,0.450764
0.245301,0.309682,-0.000002,0.450803
0.247317,0.309710,-0.000002,0.450882
0.249454,0.309751,-0.000002,0.451001
0.251321,0.309765,-0.000002,0.451041
0.253373,0.309793,-0.000002,0.451120
0.255346,0.309820,-0.000002,0.451199
0.257400,0.309848,-0.000002,0.451279
0.259372,0.309875,-0.000002,0.451358
0.261333,0.309903,-0.000002,0.451437
0.263386,0.309930,-0.000002,0.451517
0.268592,0.309930,-0.000002,0.451517
0.269328,0.309985,-0.000002,0.451675
0.271383,0.310040,-0.000002,0.451834
0.273416,0.310067,-0.000002,0.451913
0.275415,0.310095,-0.000002,0.451993
0.277401,0.310122,-0.000002,0.452072
0.279395,0.310149,-0.000002,0.452151
0.281327,0.310177,-0.000002,0.452230
0.283354,0.310204,-0.000002,0.452309
0.285365,0.310231,-0.000002,0.452388
0.287378,0.310258,-0.000002,0.452467
0.289407,0.310285,-0.000002,0.452546
0.291329,0.310312,-0.000002,0.452625
0.293329,0.310340,-0.000002,0.452703
0.295343,0.310367,-0.000002,0.452782
0.297344,0.310394,-0.000002,0.452861
0.299356,0.310420,-0.000002,0.452939
0.301347,0.310447,-0.000002,0.453017
0.303422,0.310474,-0.000002,0.453096
0.305334,0.310501,-0.000002,0.453174
0.307328,0.310528,-0.000002,0.453252
0.309330,0.310554,-0.000002,0.453330
0.311328,0.310581,-0.000002,0.453407
0.313355,0.310607,-0.000002,0.453485
0.315402,0.310634,-0.000002,0.453563
0.317469,0.310660,-0.000002,0.453640
0.319333,0.310687,-0.000002,0.453717
0.321328,0.310713,-0.000002,0.453794
0.323333,0.310739,-0.000002,0.453871
0.325327,0.310765,-0.000002,0.453948
0.327328,0.310791,-0.000002,0.454025
0.329325,0.310817,-0.000002,0.454101
0.331345,0.310843,-0.000002,0.454178
0.333325,0.310869,-0.000002,0.454254
0.335346,0.310895,-0.000002,0.454330
0.337337,0.310921,-0.000002,0.454405
0.339328,0.310947,-0.000002,0.454481
0.341318,0.310972,-0.000002,0.454557
0.343391,0.310998,-0.000002,0.454632
0.345420,0.311023,-0.000002,0.454707
0.347366,0.311048,-0.000002,0.454782
0.349345,0.311074,-0.000002,0.454856
0.351351,0.311099,-0.000002,0.454931
0.353312,0.311124,-0.000002,0.455005
0.355304,0.311149,-0.000002,0.455079
0.357334,0.311174,-0.000002,0.455153
0.359311,0.311199,-0.000002,0.455226
0.361301,0.311223,-0.000002,0.455300
0.363342,0.311248,-0.000002,0.455373
0.365324,0.311273,-0.000002,0.455446
0.367324,0.311297,-0.000002,0.455518
0.369331,0.311321,-0.000002,0.455591
0.371333,0.311345,-0.000002,0.455663
0.373313,0.311370,-0.000002,0.455735
0.375309,0.311382,-0.000002,0.455771
0.377349,0.311417,-0.000002,0.455878
0.379303,0.311441,-0.000002,0.455949
0.381351,0.311453,-0.000002,0.455985
0.383370,0.311476,-0.000002,0.456055
0.385396,0.311512,-0.000002,0.456161
0.387402,0.311523,-0.000002,0.456196
0.389344,0.311546,-0.000002,0.456266
0.391310,0.311569,-0.000002,0.456336
0.393343,0.311592,-0.000002,0.456405
0.395455,0.311615,-0.000002,0.456474
0.397350,0.311638,-0.000002,0.456543
0.399372,0.311660,-0.000002,0.456612
0.401364,0.311683,-0.000002,0.456680
0.403396,0.311705,-0.000002,0.456748
0.405366,0.311727,-0.000002,0.456815
0.407424,0.311749,-0.000002,0.456883
0.409353,0.311771,-0.000002,0.456950
0.411379,0.311793,-0.000002,0.457017
0.413331,0.311814,-0.000002,0.457083
0.415380,0.311836,-0.000002,0.457149
0.417328,0.311857,-0.000002,0.457215
0.419416,0.311878,-0.000002,0.457280
0.421334,0.311899,-0.000002,0.457346
0.423348,0.311920,-0.000002,0.457410
0.425399,0.311940,-0.000002,0.457475
0.427360,0.311961,-0.000002,0.457539
0.429356,0.311981,-0.000002,0.457603
0.431398,0.312001,-0.000002,0.457667
0.433390,0.312021,-0.000002,0.457730
0.435347,0.312031,-0.000002,0.457761
0.437394,0.312061,-0.000002,0.457855
0.439390,0.312081,-0.000002,0.457917
0.441378,0.312100,-0.000002,0.457979
0.443327,0.312119,-0.000002,0.458041
0.445362,0.312138,-0.000002,0.458102
0.447365,0.312157,-0.000002,0.458163
0.449419,0.312176,-0.000002,0.458223
0.451363,0.312194,-0.000002,0.458283
0.453359,0.312213,-0.000002,0.458343
0.455382,0.312231,-0.000002,0.458402
0.457346,0.312249,-0.000002,0.458461
0.459376,0.312267,-0.000002,0.458520
0.461393,0.312284,-0.000002,0.458578
0.463327,0.312302,-0.000002,0.458636
0.465364,0.312319,-0.000002,0.458693
0.467341,0.312336,-0.000002,0.458751
0.469348,0.312353,-0.000002,0.458807
0.471328,0.312370,-0.000002,0.458864
0.473330,0.312386,-0.000002,0.458920
0.475327,0.312403,-0.000002,0.458975
0.477327,0.312419,-0.000002,0.459031
0.479331,0.312435,-0.000002,0.459086
0.481347,0.312451,-0.000002,0.459140
0.483314,0.312466,-0.000002,0.459194
0.485326,0.312482,-0.000002,0.459248
0.487326,0.312497,-0.000002,0.459301
0.489308,0.312512,-0.000002,0.459354
0.491326,0.312527,-0.000002,0.459407
0.493351,0.312542,-0.000002,0.459459
0.495394,0.312556,-0.000002,0.459511
0.497549,0.312571,-0.000002,0.459562
0.499337,0.312585,-0.000002,0.459613
0.501376,0.312599,-0.000002,0.459664
0.503521,0.312612,-0.000002,0.459714
0.505402,0.312626,-0.000002,0.459764
0.507412,0.312633,-0.000002,0.459789
0.509371,0.312646,-0.000002,0.459838
