t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.101270266885078897e-01,4.731165667654524398e-03,4.798264803414404867e-01,-4.747229893689614011e-03,-1.733978666599661489e-03,1.469107760711838018e-03,4.318811712311700600e-03,4.218564191064380631e-03,-3.166131927881288277e-03
3.334187707641195902e-02,3.103603883774148642e-01,4.748689649730075679e-03,4.801738168396543216e-01,-4.603232604461549027e-03,-1.593323817902239647e-03,1.363542979164716895e-03,4.392067071321660750e-03,4.274539074463950573e-03,-3.139850019909515896e-03
6.668375415282391805e-02,3.100431903095479669e-01,4.795398135089889990e-03,4.796358487717675700e-01,-4.454350372882887044e-03,-1.448936353841467906e-03,1.259730773907452583e-03,4.406419787367470663e-03,4.288741269864341371e-03,-3.129868395178849339e-03
1.000256312292358840e-01,3.101405392376648251e-01,4.821419195752962850e-03,4.797625857282064032e-01,-4.309395990666597953e-03,-1.307334449437536072e-03,1.154831604569916959e-03,4.369075200989946950e-03,4.252792143441631867e-03,-3.159258987605527598e-03
1.333675083056478361e-01,3.101886007191119177e-01,4.843408814173777444e-03,4.798171237697914648e-01,-4.163004036304873701e-03,-1.165344208085145050e-03,1.049059524272866195e-03,4.388120123070269815e-03,4.266420397921145621e-03,-3.150968358970929889e-03
1.667093853820597882e-01,3.101392624792786989e-01,4.878233201466741775e-03,4.797080476570982910e-01,-4.016779667186720637e-03,-1.022833520509969230e-03,9.447132051769724370e-04,4.373337871975527084e-03,4.268429546173004192e-03,-3.129720182662750275e-03
2.000512624584717680e-01,3.101554571544156147e-01,4.910466751323561141e-03,4.797024252828876456e-01,-3.871373448822823526e-03,-8.807093016094946769e-04,8.403580330450521885e-04,4.374723680291458215e-03,4.262727846289301667e-03,-3.146793844596163132e-03
2.333931395348837201e-01,3.101849086785151144e-01,4.934750039689905776e-03,4.797252700431684502e-01,-3.725056668803627957e-03,-7.385788247876168278e-04,7.348731780743023023e-04,4.389509157244959013e-03,4.265367128077594480e-03,-3.156240941200582576e-03
2.667350166112956722e-01,3.101726531731685554e-01,4.964187622024773816e-03,4.796792948305466098e-01,-3.578664499329531345e-03,-5.962786086692317689e-04,6.298880380749549701e-04,4.378027289464706158e-03,4.266175818847919680e-03,-3.138339643965501122e-03
3.000768936877076243e-01,3.101738352931455722e-01,4.997557707858923948e-03,4.796497400147501367e-01,-3.433113373358609444e-03,-4.540942053108398824e-04,5.255969088080458818e-04,4.371367705156087302e-03,4.264298568519958241e-03,-3.138434955320296236e-03
3.334187707641195764e-01,3.101938369432026832e-01,5.025282609584458271e-03,4.796541633169013608e-01,-3.287165289967308723e-03,-3.119191712918079062e-04,4.206054130897474153e-04,4.384841596993373572e-03,4.265383961778891099e-03,-3.152781789219792283e-03
3.667606478405315285e-01,3.101957599800115872e-01,5.052334485613485526e-03,4.796321616594809711e-01,-3.140715674305627481e-03,-1.696623898361782068e-04,3.153575830782129330e-04,4.383687945482314663e-03,4.265647358316031375e-03,-3.146525853877474646e-03
4.001025249169435360e-01,3.101944525236355332e-01,5.084119155320365735e-03,4.796008037197054819e-01,-2.994844520728068282e-03,-2.746979154721884697e-05,2.107832566142775477e-04,4.373091710245941011e-03,4.264516481697290008e-03,-3.137794201666238136e-03
4.334444019933554881e-01,3.102068486842401995e-01,5.114342434171526008e-03,4.795911466646280985e-01,-2.849101501811834858e-03,1.147115788099895006e-04,1.061176859521451021e-04,4.379096406897150379e-03,4.265346586832241375e-03,-3.146575826204982881e-03
4.667862790697674402e-01,3.102145403938028068e-01,5.141546106830929830e-03,4.795774019160123913e-01,-2.702829932519024148e-03,2.569595316256889639e-04,9.577677964056618976e-07,4.384775003172884308e-03,4.265709531229836503e-03,-3.149581895951649932e-03
5.001281561461793368e-01,3.102152307479144611e-01,5.171348586561208549e-03,4.795511488384089915e-01,-2.556708243484806520e-03,3.991651044778776747e-04,-1.039082588816797603e-04,4.377313062479576931e-03,4.264621910502411871e-03,-3.141344934936559936e-03
5.334700332225913444e-01,3.102226742714213614e-01,5.202308342509898154e-03,4.795335629675108180e-01,-2.410934264410691252e-03,5.413405306603780165e-04,-2.085189055541225578e-04,4.376311160887166353e-03,4.265069434075562625e-03,-3.142686169804753595e-03
5.668119102990033520e-01,3.102315658870153925e-01,5.230709454099979894e-03,4.795202531492330777e-01,-2.264879385935947287e-03,6.835759460644963426e-04,-3.134743708084197777e-04,4.382575136368936641e-03,4.265793048416689423e-03,-3.148442574694116074e-03
6.001537873754152486e-01,3.102350438415863998e-01,5.259418988095010405e-03,4.794990860449632741e-01,-2.118687701460786332e-03,8.257996255678218267e-04,-4.184688761693089454e-04,4.380385648844126525e-03,4.264930024646037057e-03,-3.144759482246347465e-03
6.334956644518272562e-01,3.102402251334037686e-01,5.289947048985998990e-03,4.794787829555273717e-01,-1.972778826233867466e-03,9.679774913069899567e-04,-5.231787389922970544e-04,4.376520374303142363e-03,4.264821294045505196e-03,-3.141985845381228912e-03
6.668375415282391527e-01,3.102483201775032007e-01,5.319369673633111972e-03,4.794633585243956997e-01,-1.826844892775930651e-03,1.110193920245680643e-03,-6.279882878343634456e-04,4.379884273501843256e-03,4.265672023375782079e-03,-3.145992293134666946e-03
7.001794186046511603e-01,3.102537617084674682e-01,5.347935040437734600e-03,4.794450292240239886e-01,-1.680711700121850782e-03,1.252428515810359577e-03,-7.329653156343679532e-04,4.381100520298298120e-03,4.265318706735789396e-03,-3.146142758587144699e-03
7.335212956810630569e-01,3.102584826174308308e-01,5.377743700294534968e-03,4.794248080539598167e-01,-1.534696662761549958e-03,1.394621384269090908e-03,-8.377848980776758658e-04,4.377773715192756314e-03,4.264846614377221928e-03,-3.142893851265754403e-03
7.668631727574750645e-01,3.102654001894119551e-01,5.407589591632122605e-03,4.794074508906835952e-01,-1.388785313961242440e-03,1.536824498942993694e-03,-9.425452765405954725e-04,4.378070114142626305e-03,4.265492798959991984e-03,-3.144048418800709371e-03
8.002050498338870721e-01,3.102717013079092645e-01,5.436472175414264196e-03,4.793900055901960666e-01,-1.242750511606237340e-03,1.679060457415579820e-03,-1.047441849881557141e-03,4.379930452744726019e-03,4.265677794889077140e-03,-3.145596584598416186e-03
8.335469269102989687e-01,3.102767354398159316e-01,5.465775570333716860e-03,4.793706935168360328e-01,-1.096715108443946374e-03,1.821275908312536967e-03,-1.152305465851918842e-03,4.378148689142333586e-03,4.265257768888871572e-03,-3.143517103611038772e-03
8.668888039867109763e-01,3.102827753079174800e-01,5.495564286158022282e-03,4.793523559972789894e-01,-9.507991207749616480e-04,1.963483857874587582e-03,-1.257063371593952761e-03,4.376584049320801986e-03,4.265646531528931654e-03,-3.142603985029253366e-03
9.002306810631228728e-01,3.102891212278323652e-01,5.524764801526471647e-03,4.793348332143236856e-01,-8.048680536698674115e-04,2.105725232923858284e-03,-1.361866097389294317e-03,4.377167812311035661e-03,4.266270265267217872e-03,-3.143507563389865821e-03
9.335725581395348804e-01,3.102944950014875358e-01,5.553835769386561427e-03,4.793163116584201466e-01,-6.589131384931584678e-04,2.247974775393169616e-03,-1.466684257128585134e-03,4.375985375070318324e-03,4.266367175568143433e-03,-3.142245095604719995e-03
9.669144352159467770e-01,3.102999671012121041e-01,5.583320835854277409e-03,4.792977894332630662e-01,-5.130609207423253437e-04,2.390222612785122130e-03,-1.571402796832516158e-03,4.373189022585785221e-03,4.266912592960568108e-03,-3.140006735587060754e-03
1.000256312292358674e+00,3.103058268616349924e-01,5.612579825742147754e-03,4.792800271879121832e-01,-3.672924768472196622e-04,2.532508525733740551e-03,-1.676071694322683880e-03,4.371238520019537360e-03,4.268191166939065175e-03,-3.138897317410962833e-03
1.033598189368770681e+00,3.103110789753170673e-01,5.641476583009230605e-03,4.792620320161281589e-01,-2.215703259299886541e-04,2.674841623238541355e-03,-1.780716253857707321e-03,4.368449175938220533e-03,4.269539928268752810e-03,-3.136710417444390272e-03
1.066940066445182689e+00,3.103158663769762793e-01,5.670476367366950043e-03,4.792438300436343557e-01,-7.598788596984915045e-05,2.817217476656079522e-03,-1.885239320648147282e-03,4.363226855759741278e-03,4.271438985849924930e-03,-3.132458031040073147e-03
1.100281943521594696e+00,3.103206090939634176e-01,5.699351827705728679e-03,4.792261473775564218e-01,6.938602103249286168e-05,2.959677210449745272e-03,-1.989600315093622424e-03,4.356741755001199493e-03,4.274703809650529270e-03,-3.127545110445856258e-03
1.133623820598006704e+00,3.103247164726163909e-01,5.727739425521322092e-03,4.792087236865004707e-01,2.145360101279934761e-04,3.102270774574955245e-03,-2.093795769894985295e-03,4.348595593696835855e-03,4.279315663822539154e-03,-3.121160079703905795e-03
1.166965697674418490e+00,3.103277948468378122e-01,5.755796717394984219e-03,4.791913490702788270e-01,3.593667005126260569e-04,3.245038044118415954e-03,-2.197730986520205973e-03,4.336838745847895575e-03,4.285732568541538064e-03,-3.111514783759090734e-03
1.200307574750830497e+00,3.103299143118268266e-01,5.783455791493058440e-03,4.791744989579759806e-01,5.037326988565557495e-04,3.388059511540329749e-03,-2.301283256778053569e-03,4.320991870696960432e-03,4.295288594973961996e-03,-3.098496228711279579e-03
1.233649451827242505e+00,3.103305840943578753e-01,5.810290623925608300e-03,4.791583567405318100e-01,6.475066601145328636e-04,3.531464012801088098e-03,-2.404350347279041004e-03,4.300591097167267597e-03,4.309153223645973731e-03,-3.081449249748502255e-03
1.266991328903654512e+00,3.103290063231908258e-01,5.836094851715337151e-03,4.791428884461766402e-01,7.905122582918810981e-04,3.675410025712786549e-03,-2.506765860982686396e-03,4.273662285544176966e-03,4.328766487650715332e-03,-3.058209585567594948e-03
1.300333205980066298e+00,3.103245854351373012e-01,5.860656678241900688e-03,4.791284847256872537e-01,9.324905052959563470e-04,3.820122413048571489e-03,-2.608283243430840025e-03,4.238390045363350962e-03,4.356778886770596576e-03,-3.026986591902868038e-03
1.333675083056478305e+00,3.103163923687239922e-01,5.883404248826407459e-03,4.791156392985267409e-01,1.073144018080667006e-03,3.965936397896410899e-03,-2.708616690701031587e-03,4.193414110432718001e-03,4.396714997298514088e-03,-2.986019349256374168e-03
1.367016960132890313e+00,3.103029358574614371e-01,5.903683025050196140e-03,4.791047290315653129e-01,1.212123100897034497e-03,4.113311875008459489e-03,-2.807402223612227334e-03,4.136604272369218648e-03,4.452982355212469975e-03,-2.932272653771275488e-03
1.400358837209302321e+00,3.102824839722216899e-01,5.920803842662625965e-03,4.790963929316380820e-01,1.348988320406857046e-03,4.262877978518262063e-03,-2.904151639454163880e-03,4.065575230093569289e-03,4.531924908753706509e-03,-2.862131439507995499e-03
1.433700714285714328e+00,3.102528564457321947e-01,5.933731267453053876e-03,4.790915672298295958e-01,1.483230920030404604e-03,4.415517641462850598e-03,-2.998259892877446538e-03,3.978598867393215270e-03,4.642394972211979533e-03,-2.771833117910222841e-03
1.467042591362126114e+00,3.102110410656680473e-01,5.941094399268997267e-03,4.790913096421481887e-01,1.614296229152809882e-03,4.572450303525551520e-03,-3.088987877641544578e-03,3.874413411390617047e-03,4.796016869845847429e-03,-2.656715092970273872e-03
1.500384468438538121e+00,3.101532212630178087e-01,5.941282500112943232e-03,4.790969684276459861e-01,1.741591351441980351e-03,4.735334051324447194e-03,-3.175419628991173020e-03,3.752649563444232939e-03,5.008362840657348131e-03,-2.511312543603483761e-03
1.533726345514950129e+00,3.100746700349028551e-01,5.932250626949676225e-03,4.791103386271953202e-01,1.864536990063227120e-03,4.906426739900084967e-03,-3.256451625900102197e-03,3.615200541972437252e-03,5.300511407545400143e-03,-2.329992237885167208e-03
1.567068222591362137e+00,3.099693547733196608e-01,5.911387681274086342e-03,4.791336175072449244e-01,1.982666495596026139e-03,5.088792050909443296e-03,-3.330792258560295524e-03,3.467449767347345873e-03,5.700305115613057451e-03,-2.107007875322564148e-03
1.600410099667774144e+00,3.098297263453595463e-01,5.875553233237499132e-03,4.791694800887523753e-01,2.095759557886284034e-03,5.286544484825710620e-03,-3.396954821056175945e-03,3.319961371987429320e-03,6.244086274376985796e-03,-1.836908126224597992e-03
1.633751976744185930e+00,3.096465897633856601e-01,5.820993331777024257e-03,4.792212308073602323e-01,2.204053983522507882e-03,5.505171164939020451e-03,-3.453284188450781063e-03,3.191354538727595933e-03,6.979301321572358406e-03,-1.515716183912842489e-03
1.667093853820597937e+00,3.094087865143465566e-01,5.743213558354884514e-03,4.792928348512719983e-01,2.308571059361293806e-03,5.751950498311920838e-03,-3.498028466429676381e-03,3.111948703928503392e-03,7.967240617471454608e-03,-1.142234159585247795e-03
1.700435730897009945e+00,3.091029380009215344e-01,5.637006036635535712e-03,4.793889355547839570e-01,2.411570405831475229e-03,6.036456679550879917e-03,-3.529452650333521173e-03,3.128381230436975014e-03,9.285746684002015722e-03,-7.198766856158772673e-04
1.733777607973421953e+00,3.087134096041684872e-01,5.496528784683282418e-03,4.795148967563093167e-01,2.517183264228061833e-03,6.371158947313311158e-03,-3.546032546353635254e-03,3.309823116206865243e-03,1.103236345257873306e-02,-2.596173560808109600e-04
1.767119485049833738e+00,3.082223523421432354e-01,5.315406842127242890e-03,4.796767360665164515e-01,2.632281836801947383e-03,6.772136091747239794e-03,-3.546764910280220118e-03,3.755578696107403358e-03,1.332746653657018721e-02,2.162606418056324498e-04
1.800461362126245746e+00,3.076099303826552722e-01,5.087019393770011305e-03,4.798809313442746749e-01,2.767619350700870930e-03,7.259884449317945132e-03,-3.531611474882536544e-03,4.603728868819020707e-03,1.631614024184660852e-02,6.695165697742953359e-04
1.833803239202657753e+00,3.068550193444412599e-01,4.805026779921226995e-03,4.801341079290225577e-01,2.939275760876533094e-03,7.860157576357535911e-03,-3.502119031940149028e-03,6.040596660447228664e-03,2.016796398545735169e-02,1.039983904124731646e-03
1.867145116279069761e+00,3.059364683928476047e-01,4.464131753264555420e-03,4.804425009248594058e-01,3.170429013342503100e-03,8.604760001487190071e-03,-3.462261443896988942e-03,8.309740862742437742e-03,2.507364627704449997e-02,1.238799490711784638e-03
1.900486993355481768e+00,3.048350271565108960e-01,4.061180903842736070e-03,4.808111185209391625e-01,3.493400477641324733e-03,9.532162440410840015e-03,-3.419511231256880911e-03,1.171792731658267105e-02,3.123610555305187525e-02,1.141811587659333476e-03
1.933828870431893554e+00,3.035362048488177145e-01,3.596693202781113714e-03,4.812425879208713786e-01,3.951824397702161616e-03,1.068770078487855935e-02,-3.386121160696668395e-03,1.663465729330441956e-02,3.885311929545348653e-02,5.842158323736856189e-04
1.967170747508305562e+00,3.020342172616364285e-01,3.076788501273504482e-03,4.817356383009283594e-01,4.602661875004515971e-03,1.212303429557919955e-02,-3.380553526318686667e-03,2.348046661871184063e-02,4.808951570768078138e-02,-6.413480396243310781e-04
2.000512624584717347e+00,3.003369234340816929e-01,2.515430235699654161e-03,4.822832397135529137e-01,5.517590061097930702e-03,1.389449022765790881e-02,-3.428888655697372861e-03,3.269796937196502856e-02,5.903787700974131442e-02,-2.779691034857624966e-03
2.033854501661129355e+00,2.984714515081464681e-01,1.936779051609948104e-03,4.828705716615594445e-01,6.783085225901198251e-03,1.605990157180144443e-02,-3.565913759907941242e-03,4.470031489702698535e-02,7.166876669700392166e-02,-6.097316289718052694e-03
2.067196378737541362e+00,2.964898525607077562e-01,1.377231384483393502e-03,4.834731244405960915e-01,8.498374870245090779e-03,1.867363264651701257e-02,-3.835480596152940000e-03,5.979537273293319966e-02,8.577650202084091680e-02,-1.085309468595325490e-02
2.100538255813953370e+00,2.944735661712408747e-01,8.865181886237291425e-04,4.840553900282882904e-01,1.077046516070058642e-02,2.177980074464840390e-02,-4.289638857743367784e-03,7.809123069008115647e-02,1.009333649041236763e-01,-1.725456830052530741e-02
2.133880132890365378e+00,2.925350545469224128e-01,5.271367540636015883e-04,4.845707595739819906e-01,1.370579129907392030e-02,2.540424833760086126e-02,-4.986079986718278297e-03,9.939946051341030930e-02,1.164705638632184959e-01,-2.540403166110695443e-02
2.167222009966777385e+00,2.908149318026572172e-01,3.714589595449117009e-04,4.849632277013375403e-01,1.739879434850016837e-02,2.954649519134404378e-02,-5.983675059523178852e-03,1.231639952513528813e-01,1.315052153139270874e-01,-3.524544657640125978e-02
2.200563887043189393e+00,2.894734541908099423e-01,4.962451346772830821e-04,4.851712189050131352e-01,2.191882887889470832e-02,3.417350978540895090e-02,-7.336378681225509332e-03,1.484487604250936954e-01,1.450257321552265999e-01,-4.652876385289361066e-02
2.233905764119601400e+00,2.886764947192841380e-01,9.750015980530662421e-04,4.851333362868697208e-01,2.729791499297857388e-02,3.921735546021646451e-02,-9.086387709324336703e-03,1.740091913653940003e-01,1.560309414379645876e-01,-5.880874341099104341e-02
2.267247641196013408e+00,2.885779057732320019e-01,1.869432930779285108e-03,4.847951785879098252e-01,3.352241501623633158e-02,4.457823872449184766e-02,-1.125796646888053976e-02,1.984489357434907064e-01,1.636952409890380655e-01,-7.148816131303908916e-02
2.300589518272424971e+00,2.893017579673620165e-01,3.221813800288850834e-03,4.841158217025856025e-01,4.053123503598705935e-02,5.013316866631674362e-02,-1.385348668316045348e-02,2.204306123101787418e-01,1.675149708559683093e-01,-8.390081843774069292e-02
2.333931395348836979e+00,2.909284836809546970e-01,5.050102336648140677e-03,4.830724530818332196e-01,4.822155577528473153e-02,5.574876585796870176e-02,-1.685278801880355642e-02,2.388844555454203156e-01,1.673915259604885908e-01,-9.541400869241804805e-02
2.367273272425248987e+00,2.934880382391835130e-01,7.346918505313866296e-03,4.816621124372298945e-01,5.646094734050906283e-02,6.129546403073200811e-02,-2.021605098154106300e-02,2.531560627734292801e-01,1.636269382783387683e-01,-1.055218162592894832e-01
2.400615149501660994e+00,2.969611396148273963e-01,1.008238695922363329e-02,4.799003330864311523e-01,6.510295242756494738e-02,6.666002438290073717e-02,-2.388937887199747354e-02,2.630570895047404378e-01,1.568384725900409393e-01,-1.139046385045988513e-01
2.433957026578073002e+00,3.012873669068272808e-01,1.320980624070224214e-02,4.778173270246307558e-01,7.400258162520056970e-02,7.175404217863071143e-02,-2.781163989244801391e-02,2.688185740064445994e-01,1.478248156266090130e-01,-1.204440812891133528e-01
2.467298903654485009e+00,3.063773524491346656e-01,1.667256354949970404e-02,4.754528778223020002e-01,8.302878412832340183e-02,7.651753804583205643e-02,-3.192104237784344767e-02,2.709771150174735133e-01,1.374258804439293380e-01,-1.251982072642077171e-01
2.500640780730897017e+00,3.121259491783322515e-01,2.041077196768496457e-02,4.728511537567885448e-01,9.207235294406726500e-02,8.091811580438906804e-02,-3.616032636602873468e-02,2.702366725450873197e-01,1.264100095977229998e-01,-1.283526231030355236e-01
2.533982657807309025e+00,3.184239015575333065e-01,2.436659123519318085e-02,4.700563323811708383e-01,1.010491799633971843e-01,8.494703204830272858e-02,-4.048007714171633631e-02,2.673428533206140822e-01,1.154047849447918800e-01,-1.301650279837985313e-01
2.567324534883721032e+00,3.251666505932787610e-01,2.848780334934840341e-02,4.671094726564972710e-01,1.098997780494135601e-01,8.861374011170708442e-02,-4.484021909139580125e-02,2.629907721456056224e-01,1.048709028854218073e-01,-1.309165241246957601e-01
2.600666411960132596e+00,3.322599472519725539e-01,3.272970625967971947e-02,4.640466753509617237e-01,1.185863919576160830e-01,9.194021755409886865e-02,-4.921008245098978939e-02,2.577716093963303146e-01,9.510844744127840145e-02,-1.308763543394548812e-01
2.634008289036544603e+00,3.396226529719873488e-01,3.705566907161733647e-02,4.608983227054137544e-01,1.270889566779762059e-01,9.495592843873806865e-02,-5.356754572858588026e-02,2.521522655736982976e-01,8.628195865412879861e-02,-1.302810498390770122e-01
2.667350166112956611e+00,3.471874286863939618e-01,4.143678122363768368e-02,4.576890893543147376e-01,1.354008516442101462e-01,9.769382247281491183e-02,-5.789771194923060138e-02,2.464779888705618260e-01,7.845260017419770915e-02,-1.293255528145923205e-01
2.700692043189368619e+00,3.549000517517018061e-01,4.585099001835253596e-02,4.544384256600562111e-01,1.435250342919032196e-01,1.001874423414040594e-01,-6.219145909815219919e-02,2.409879223458703257e-01,7.160959326189098029e-02,-1.281626346076945588e-01
2.734033920265780626e+00,3.627179828613089629e-01,5.028202507261436693e-02,4.511612752850601149e-01,1.514708310117219847e-01,1.024690189848745658e-01,-6.644407756698830769e-02,2.358358586975900784e-01,6.569683813773710690e-02,-1.269071475364850210e-01
