time,x,y,z
0.004695,0.296006,-0.000002,0.449108
0.006706,0.296006,-0.000002,0.449108
0.008739,0.296008,-0.000002,0.449109
0.010771,0.296020,-0.000002,0.449113
0.012738,0.296041,-0.000002,0.449120
0.014727,0.296072,-0.000002,0.449129
0.016706,0.296111,-0.000002,0.449141
0.018698,0.296159,-0.000002,0.449157
0.020694,0.296216,-0.000002,0.449174
0.022704,0.296280,-0.000002,0.449195
0.024698,0.296353,-0.000002,0.449218
0.026699,0.296434,-0.000002,0.449243
0.028676,0.296522,-0.000002,0.449271
0.030705,0.296617,-0.000002,0.449302
0.032752,0.296720,-0.000002,0.449334
0.034688,0.296829,-0.000002,0.449369
0.036859,0.296945,-0.000002,0.449407
0.038763,0.297067,-0.000002,0.449446
0.040703,0.297196,-0.000002,0.449488
0.042729,0.297330,-0.000002,0.449531
0.044744,0.297400,-0.000002,0.449554
0.046722,0.297542,-0.000002,0.449600
0.048682,0.297766,-0.000002,0.449674
0.050652,0.297843,-0.000002,0.449699
0.052840,0.298081,-0.000002,0.449778
0.054779,0.298245,-0.000002,0.449833
0.056706,0.298414,-0.000002,0.449889
0.058671,0.298586,-0.000002,0.449947
0.060886,0.298762,-0.000002,0.450007
0.062782,0.298941,-0.000002,0.450067
0.064735,0.299123,-0.000002,0.450129
0.066668,0.299215,-0.000002,0.450161
0.068655,0.299496,-0.000002,0.450257
0.070647,0.299686,-0.000002,0.450323
0.072769,0.299878,-0.000002,0.450390
0.074747,0.300072,-0.000002,0.450458
0.076835,0.300268,-0.000002,0.450527
0.078855,0.300366,-0.000002,0.450562
0.080799,0.300663,-0.000002,0.450669
0.082718,0.300763,-0.000002,0.450705
0.084733,0.300962,-0.000002,0.450777
0.086730,0.301163,-0.000002,0.450851
0.088696,0.301364,-0.000002,0.450926
0.090697,0.301566,-0.000002,0.451001
0.092729,0.301767,-0.000002,0.451077
0.094732,0.301969,-0.000002,0.451154
0.096697,0.302170,-0.000002,0.451232
0.098707,0.302372,-0.000002,0.451311
0.100697,0.302572,-0.000002,0.451390
0.102697,0.302772,-0.000002,0.451470
0.104702,0.302971,-0.000002,0.451550
0.106698,0.303168,-0.000002,0.451631
0.108677,0.303364,-0.000002,0.451713
0.110673,0.303559,-0.000002,0.451795
0.112920,0.303752,-0.000002,0.451878
0.114840,0.303944,-0.000002,0.451961
0.116841,0.304134,-0.000002,0.452044
0.118751,0.304228,-0.000002,0.452086
0.120704,0.304414,-0.000002,0.452170
0.122700,0.304598,-0.000002,0.452254
0.124730,0.304781,-0.000002,0.452339
0.126729,0.304960,-0.000002,0.452424
0.128721,0.305138,-0.000002,0.452509
0.130730,0.305312,-0.000002,0.452594
0.132722,0.305484,-0.000002,0.452680
0.134693,0.305653,-0.000002,0.452766
0.136694,0.305820,-0.000002,0.452852
0.138697,0.305983,-0.000002,0.452938
0.140694,0.306143,-0.000002,0.453024
0.142717,0.306300,-0.000002,0.453110
0.144852,0.306453,-0.000002,0.453196
0.146698,0.306603,-0.000002,0.453282
0.148847,0.306750,-0.000002,0.453369
0.150868,0.306894,-0.000002,0.453455
0.152865,0.307033,-0.000002,0.453541
0.154751,0.307169,-0.000002,0.453627
0.156808,0.307302,-0.000002,0.453713
0.158705,0.307431,-0.000002,0.453799
0.160922,0.307556,-0.000002,0.453885
0.162700,0.307617,-0.000002,0.453928
0.164820,0.307795,-0.000002,0.454056
0.166743,0.307909,-0.000002,0.454141
0.168666,0.308019,-0.000002,0.454226
0.170669,0.308125,-0.000002,0.454311
0.172717,0.308227,-0.000002,0.454396
0.174703,0.308325,-0.000002,0.454481
0.176730,0.308373,-0.000002,0.454523
0.178737,0.308510,-0.000002,0.454649
0.180798,0.308597,-0.000002,0.454733
0.182682,0.308679,-0.000002,0.454817
0.184701,0.308758,-0.000002,0.454900
0.186757,0.308833,-0.000002,0.454983
0.188802,0.308905,-0.000002,0.455066
0.190732,0.308972,-0.000002,0.455149
0.192823,0.309036,-0.000002,0.455232
0.194833,0.309096,-0.000002,0.455314
0.196765,0.309152,-0.000002,0.455396
0.198768,0.309204,-0.000002,0.455477
0.200785,0.309253,-0.000002,0.455559
0.202768,0.309298,-0.000002,0.455640
0.204677,0.309340,-0.000002,0.455721
0.206845,0.309378,-0.000002,0.455802
0.208824,0.309412,-0.000002,0.455882
0.210779,0.309443,-0.000002,0.455962
0.212743,0.309471,-0.000002,0.456043
0.214755,0.309498,-0.000002,0.456123
0.216910,0.309525,-0.000002,0.456203
0.218658,0.309552,-0.000002,0.456284
0.220724,0.309580,-0.000002,0.456364
0.222685,0.309607,-0.000002,0.456445
0.224803,0.309634,-0.000002,0.456527
0.226887,0.309661,-0.000002,0.456608
0.228776,0.309689,-0.000002,0.456689
0.230865,0.309716,-0.000002,0.456771
0.232726,0.309743,-0.000002,0.456853
0.234654,0.309757,-0.000002,0.456894
0.236699,0.309785,-0.000002,0.456976
0.238703,0.309812,-0.000002,0.457058
0.240699,0.309826,-0.000002,0.457099
0.242700,0.309867,-0.000002,0.457223
0.244813,0.309895,-0.000002,0.457306
0.246703,0.309923,-0.000002,0.457389
0.248700,0.309950,-0.000002,0.457472
0.250697,0.309978,-0.000002,0.457555
0.252670,0.310006,-0.000002,0.457638
0.254653,0.310033,-0.000002,0.457721
0.256652,0.310047,-0.000002,0.457763
0.258678,0.310075,-0.000002,0.457846
0.260754,0.310103,-0.000002,0.457930
0.262723,0.310130,-0.000002,0.458013
0.264766,0.310158,-0.000002,0.458097
0.266709,0.310186,-0.000002,0.458180
0.268733,0.310214,-0.000002,0.458264
0.270735,0.310242,-0.000002,0.458348
0.272696,0.310269,-0.000002,0.458432
0.274733,0.310297,-0.000002,0.458516
0.276716,0.310325,-0.000002,0.458600
0.278761,0.310353,-0.000002,0.458684
0.280701,0.310381,-0.000002,0.458768
0.282703,0.310408,-0.000002,0.458852
0.284724,0.310436,-0.000002,0.458936
0.286673,0.310464,-0.000002,0.459020
0.288738,0.310492,-0.000002,0.459104
0.290770,0.310519,-0.000002,0.459188
0.292767,0.310547,-0.000002,0.459272
0.294771,0.310561,-0.000002,0.459315
0.296735,0.310589,-0.000002,0.459399
0.298753,0.310616,-0.000002,0.459483
0.300731,0.310644,-0.000002,0.459567
0.302735,0.310671,-0.000002,0.459651
0.304729,0.310699,-0.000002,0.459735
0.306732,0.310727,-0.000002,0.459819
0.308729,0.310754,-0.000002,0.459903
0.310721,0.310782,-0.000002,0.459987
0.312699,0.310809,-0.000002,0.460070
0.314696,0.310836,-0.000002,0.460154
0.316694,0.310864,-0.000002,0.460238
0.318694,0.310891,-0.000002,0.460321
0.320755,0.310919,-0.000002,0.460405
0.322868,0.310946,-0.000002,0.460488
0.324846,0.310973,-0.000002,0.460572
0.326760,0.311000,-0.000002,0.460655
0.328704,0.311014,-0.000002,0.460697
0.330828,0.311054,-0.000002,0.460821
0.332803,0.311081,-0.000002,0.460904
0.334686,0.311095,-0.000002,0.460946
0.336784,0.311135,-0.000002,0.461070
0.338748,0.311162,-0.000002,0.461153
0.340795,0.311189,-0.000002,0.461235
0.342706,0.311202,-0.000002,0.461277
0.344717,0.311229,-0.000002,0.461359
0.346665,0.311256,-0.000002,0.461441
0.348739,0.311282,-0.000002,0.461523
0.350718,0.311322,-0.000002,0.461646
0.352683,0.311349,-0.000002,0.461728
0.354682,0.311375,-0.000002,0.461810
0.356745,0.311388,-0.000002,0.461850
0.358658,0.311415,-0.000002,0.461932
0.360880,0.311441,-0.000002,0.462013
0.362736,0.311467,-0.000002,0.462094
0.364719,0.311493,-0.000002,0.462175
0.366729,0.311519,-0.000002,0.462255
0.368734,0.311545,-0.000002,0.462336
0.370695,0.311571,-0.000002,0.462416
0.372694,0.311597,-0.000002,0.462496
0.374694,0.311622,-0.000002,0.462576
0.376718,0.311648,-0.000002,0.462656
0.378701,0.311673,-0.000002,0.462736
0.380707,0.311699,-0.000002,0.462815
0.382727,0.311724,-0.000002,0.462894
0.384697,0.311749,-0.000002,0.462973
0.386720,0.311774,-0.000002,0.463052
0.388741,0.311799,-0.000002,0.463130
0.390831,0.311824,-0.000002,0.463208
0.392715,0.311849,-0.000002,0.463286
0.394708,0.311862,-0.000002,0.463325
0.396755,0.311886,-0.000002,0.463403
0.398746,0.311911,-0.000002,0.463480
0.400726,0.311935,-0.000002,0.463557
0.402707,0.311959,-0.000002,0.463634
0.404736,0.311984,-0.000002,0.463711
0.406731,0.312008,-0.000002,0.463787
0.408734,0.312032,-0.000002,0.463863
0.410774,0.312056,-0.000002,0.463939
0.412700,0.312079,-0.000002,0.464015
0.414697,0.312103,-0.000002,0.464090
0.416742,0.312126,-0.000002,0.464165
0.418694,0.312150,-0.000002,0.464240
0.420693,0.312173,-0.000002,0.464315
0.422698,0.312196,-0.000002,0.464389
0.424697,0.312219,-0.000002,0.464463
0.426700,0.312242,-0.000002,0.464536
0.428870,0.312264,-0.000002,0.464610
0.430748,0.312287,-0.000002,0.464683
0.432714,0.312309,-0.000002,0.464755
0.434675,0.312331,-0.000002,0.464828
0.436687,0.312342,-0.000002,0.464864
0.438720,0.312364,-0.000002,0.464936
0.440722,0.312397,-0.000002,0.465043
0.442705,0.312408,-0.000002,0.465079
0.444704,0.312429,-0.000002,0.465150
0.446854,0.312451,-0.000002,0.465221
0.448875,0.312472,-0.000002,0.465291
0.450959,0.312493,-0.000002,0.465361
0.452846,0.312514,-0.000002,0.465431
0.454720,0.312524,-0.000002,0.465466
0.456825,0.312545,-0.000002,0.465535
0.458706,0.312565,-0.000002,0.465604
0.460721,0.312586,-0.000002,0.465672
0.462726,0.312606,-0.000002,0.465741
0.464686,0.312626,-0.000002,0.465808
0.466708,0.312646,-0.000002,0.465876
0.468686,0.312665,-0.000002,0.465943
0.470701,0.312685,-0.000002,0.466010
0.472764,0.312704,-0.000002,0.466077
0.474694,0.312723,-0.000002,0.466143
0.476714,0.312742,-0.000002,0.466208
0.478702,0.312761,-0.000002,0.466274
0.480736,0.312780,-0.000002,0.466339
0.482699,0.312798,-0.000002,0.466404
0.484732,0.312817,-0.000002,0.466468
0.486732,0.312835,-0.000002,0.466532
0.488736,0.312853,-0.000002,0.466596
0.490739,0.312870,-0.000002,0.466659
0.492723,0.312888,-0.000002,0.466722
0.494726,0.312905,-0.000002,0.466784
0.496729,0.312922,-0.000002,0.466846
0.498694,0.312939,-0.000002,0.466908
0.500694,0.312956,-0.000002,0.466969
0.502694,0.312973,-0.000002,0.467030
0.504727,0.312989,-0.000002,0.467091
0.506730,0.313006,-0.000002,0.467151
0.508701,0.313022,-0.000002,0.467211
0.510724,0.313037,-0.000002,0.467270
0.512701,0.313053,-0.000002,0.467329
0.514703,0.313069,-0.000002,0.467388
0.516713,0.313084,-0.000002,0.467446
0.518766,0.313099,-0.000002,0.467504
0.520696,0.313114,-0.000002,0.467561
0.522701,0.313128,-0.000002,0.467618
0.524694,0.313143,-0.000002,0.467674
0.526904,0.313157,-0.000002,0.467731
0.528922,0.313171,-0.000002,0.467786
0.530691,0.313178,-0.000002,0.467814
0.532710,0.313192,-0.000002,0.467869
0.534692,0.313205,-0.000002,0.467924
0.536757,0.313219,-0.000002,0.467978
0.538725,0.313232,-0.000002,0.468032
0.540718,0.313245,-0.000002,0.468086
0.542700,0.313258,-0.000002,0.468139
0.544732,0.313270,-0.000002,0.468192
0.546701,0.313283,-0.000002,0.468244
0.548700,0.313295,-0.000002,0.468296
0.550745,0.313307,-0.000002,0.468347
0.552731,0.313318,-0.000002,0.468398
0.554697,0.313330,-0.000002,0.468449
0.556695,0.313341,-0.000002,0.468499
0.558738,0.313352,-0.000002,0.468549
0.560702,0.313363,-0.000002,0.468598
0.562721,0.313374,-0.000002,0.468647
0.564739,0.313384,-0.000002,0.468696
0.566716,0.313394,-0.000002,0.468744
0.568699,0.313404,-0.000002,0.468791
0.570723,0.313414,-0.000002,0.468839
0.572767,0.313424,-0.000002,0.468886
0.574698,0.313433,-0.000002,0.468932
0.576826,0.313443,-0.000002,0.468978
0.578793,0.313452,-0.000002,0.469023
0.580765,0.313456,-0.000002,0.469046
0.582733,0.313465,-0.000002,0.469091
0.584717,0.313473,-0.000002,0.469135
0.586725,0.313481,-0.000002,0.469179
0.588720,0.313489,-0.000002,0.469223
0.590708,0.313497,-0.000002,0.469266
0.592734,0.313505,-0.000002,0.469309
0.594709,0.313512,-0.000002,0.469351
0.596702,0.313519,-0.000002,0.469393
0.598736,0.313526,-0.000002,0.469435
0.600695,0.313533,-0.000002,0.469476
0.602694,0.313540,-0.000002,0.469516
0.604694,0.313546,-0.000002,0.469556
0.606695,0.313552,-0.000002,0.469596
0.608694,0.313558,-0.000002,0.469636
0.610735,0.313564,-0.000002,0.469674
0.612701,0.313569,-0.000002,0.469713
0.614699,0.313574,-0.000002,0.469751
0.616772,0.313580,-0.000002,0.469789
0.618695,0.313584,-0.000002,0.469826
0.620710,0.313589,-0.000002,0.469862
0.622687,0.313593,-0.000002,0.469899
0.624712,0.313598,-0.000002,0.469935
0.626697,0.313602,-0.000002,0.469970
0.628699,0.313605,-0.000002,0.470005
0.630714,0.313609,-0.000002,0.470040
0.632679,0.313612,-0.000002,0.470074
0.634736,0.313616,-0.000002,0.470108
0.636694,0.313619,-0.000002,0.470141
0.638683,0.313621,-0.000002,0.470174
0.640736,0.313624,-0.000002,0.470206
0.642709,0.313626,-0.000002,0.470239
0.644734,0.313627,-0.000002,0.470254
0.646837,0.313630,-0.000002,0.470301
0.648783,0.313632,-0.000002,0.470332
