time,x,y,z
0.005064,0.258848,-0.000003,0.369083
0.006978,0.258848,-0.000003,0.369083
0.008961,0.258857,-0.000003,0.369084
0.010961,0.258895,-0.000003,0.369085
0.012971,0.258963,-0.000003,0.369087
0.015092,0.259060,-0.000003,0.369090
0.016991,0.259185,-0.000003,0.369094
0.018968,0.259338,-0.000003,0.369099
0.020965,0.259518,-0.000003,0.369105
0.022961,0.259725,-0.000003,0.369112
0.024964,0.259958,-0.000003,0.369120
0.026964,0.260217,-0.000003,0.369130
0.029054,0.260501,-0.000003,0.369141
0.031077,0.260809,-0.000003,0.369154
0.033006,0.261142,-0.000003,0.369168
0.035000,0.261497,-0.000003,0.369184
0.036961,0.261876,-0.000003,0.369202
0.039055,0.262276,-0.000003,0.369222
0.040929,0.262698,-0.000003,0.369244
0.042956,0.263142,-0.000003,0.369268
0.044992,0.263605,-0.000003,0.369294
0.047009,0.263844,-0.000003,0.369308
0.048971,0.264337,-0.000003,0.369339
0.050963,0.264849,-0.000003,0.369371
0.053020,0.265380,-0.000003,0.369407
0.055012,0.265928,-0.000003,0.369445
0.057036,0.266494,-0.000003,0.369486
0.059007,0.267076,-0.000003,0.369530
0.060986,0.267674,-0.000003,0.369578
0.062978,0.268288,-0.000003,0.369629
0.065002,0.268917,-0.000003,0.369683
0.066995,0.269559,-0.000003,0.369740
0.068996,0.270215,-0.000003,0.369802
0.070999,0.270884,-0.000003,0.369866
0.073004,0.271565,-0.000003,0.369935
0.074994,0.272258,-0.000003,0.370008
0.077001,0.272962,-0.000003,0.370084
0.078991,0.273676,-0.000003,0.370165
0.080997,0.274399,-0.000003,0.370249
0.082989,0.275132,-0.000003,0.370338
0.084992,0.275873,-0.000003,0.370431
0.086991,0.276622,-0.000003,0.370528
0.088988,0.277378,-0.000003,0.370629
0.090983,0.278141,-0.000003,0.370735
0.092983,0.278910,-0.000003,0.370845
0.094966,0.279685,-0.000003,0.370959
0.096986,0.280464,-0.000003,0.371078
0.098983,0.281247,-0.000003,0.371201
0.100989,0.282034,-0.000003,0.371329
0.102962,0.282824,-0.000003,0.371461
0.104965,0.283617,-0.000003,0.371597
0.106961,0.284411,-0.000003,0.371737
0.108962,0.285207,-0.000003,0.371882
0.110969,0.286004,-0.000003,0.372031
0.113086,0.286801,-0.000003,0.372185
0.114964,0.287599,-0.000003,0.372342
0.116960,0.288395,-0.000003,0.372504
0.118960,0.289190,-0.000003,0.372670
0.120964,0.289984,-0.000003,0.372840
0.122965,0.290775,-0.000003,0.373013
0.124974,0.291564,-0.000003,0.373191
0.126949,0.292350,-0.000003,0.373372
0.128974,0.293132,-0.000003,0.373557
0.130998,0.293910,-0.000003,0.373746
0.132966,0.294298,-0.000003,0.373842
0.135006,0.295069,-0.000003,0.374036
0.136965,0.295836,-0.000003,0.374233
0.138964,0.296597,-0.000003,0.374434
0.140963,0.297353,-0.000003,0.374637
0.142969,0.298102,-0.000003,0.374844
0.145004,0.298845,-0.000003,0.375054
0.146984,0.299581,-0.000003,0.375267
0.148997,0.300310,-0.000003,0.375482
0.150997,0.301031,-0.000003,0.375700
0.152976,0.301744,-0.000003,0.375921
0.154996,0.302449,-0.000003,0.376144
0.157020,0.303145,-0.000003,0.376369
0.158983,0.303833,-0.000003,0.376596
0.161002,0.304511,-0.000003,0.376825
0.163046,0.305179,-0.000003,0.377056
0.164973,0.305838,-0.000003,0.377288
0.166967,0.306487,-0.000003,0.377522
0.168961,0.307125,-0.000003,0.377758
0.170986,0.307753,-0.000003,0.377994
0.172964,0.308370,-0.000003,0.378232
0.174965,0.308978,-0.000003,0.378471
0.176966,0.309576,-0.000003,0.378711
0.179023,0.310163,-0.000003,0.378951
0.180968,0.310739,-0.000003,0.379192
0.182987,0.311305,-0.000003,0.379434
0.184965,0.311860,-0.000003,0.379676
0.186965,0.312404,-0.000003,0.379919
0.188965,0.312936,-0.000003,0.380161
0.190960,0.313457,-0.000003,0.380404
0.192962,0.313966,-0.000003,0.380647
0.194967,0.314464,-0.000003,0.380889
0.196990,0.314949,-0.000003,0.381132
0.198967,0.315423,-0.000003,0.381374
0.200989,0.315885,-0.000003,0.381615
0.202963,0.316335,-0.000003,0.381856
0.204961,0.316772,-0.000003,0.382097
0.206966,0.317197,-0.000003,0.382337
0.208965,0.317610,-0.000003,0.382576
0.210965,0.318011,-0.000003,0.382814
0.212995,0.318399,-0.000003,0.383052
0.214919,0.318775,-0.000003,0.383288
0.217099,0.319139,-0.000003,0.383524
0.219155,0.319489,-0.000003,0.383758
0.221066,0.319828,-0.000003,0.383991
0.222972,0.319992,-0.000003,0.384107
0.224978,0.320312,-0.000003,0.384339
0.227001,0.320620,-0.000003,0.384569
0.228998,0.320915,-0.000003,0.384797
0.231007,0.321197,-0.000003,0.385024
0.232969,0.321467,-0.000003,0.385250
0.234989,0.321725,-0.000003,0.385475
0.236975,0.321971,-0.000003,0.385698
0.238989,0.322204,-0.000003,0.385919
0.240996,0.322425,-0.000003,0.386139
0.243003,0.322634,-0.000003,0.386357
0.244963,0.322831,-0.000003,0.386574
0.246981,0.323016,-0.000003,0.386789
0.248982,0.323190,-0.000003,0.387002
0.250980,0.323351,-0.000003,0.387214
0.252967,0.323501,-0.000003,0.387424
0.255001,0.323640,-0.000003,0.387633
0.256962,0.323767,-0.000003,0.387840
0.258964,0.323882,-0.000003,0.388046
0.260964,0.323987,-0.000003,0.388250
0.262967,0.324087,-0.000003,0.388453
0.264973,0.324183,-0.000003,0.388657
0.266964,0.324276,-0.000003,0.388861
0.268964,0.324365,-0.000003,0.389064
0.271005,0.324450,-0.000003,0.389268
0.272964,0.324532,-0.000003,0.389472
0.274963,0.324610,-0.000003,0.389675
0.276971,0.324684,-0.000003,0.389879
0.279227,0.324755,-0.000003,0.390082
0.281015,0.324823,-0.000003,0.390286
0.283000,0.324886,-0.000003,0.390489
0.285036,0.324917,-0.000003,0.390591
0.287001,0.324975,-0.000003,0.390794
0.288999,0.325030,-0.000003,0.390997
0.290994,0.325081,-0.000003,0.391200
0.292996,0.325129,-0.000003,0.391404
0.294963,0.325174,-0.000003,0.391607
0.297021,0.325214,-0.000003,0.391810
0.298968,0.325252,-0.000003,0.392013
0.300964,0.325286,-0.000003,0.392215
0.302964,0.325316,-0.000003,0.392418
0.304968,0.325343,-0.000003,0.392621
0.306962,0.325367,-0.000003,0.392824
0.308968,0.325388,-0.000003,0.393027
0.310968,0.325405,-0.000003,0.393229
0.312995,0.325419,-0.000003,0.393432
0.314970,0.325425,-0.000003,0.393533
0.316961,0.325437,-0.000003,0.393837
0.318975,0.325442,-0.000003,0.394039
0.320962,0.325442,-0.000003,0.394242
0.322960,0.325440,-0.000003,0.394444
0.324960,0.325435,-0.000003,0.394646
0.326960,0.325426,-0.000003,0.394848
0.328969,0.325415,-0.000003,0.395050
0.330969,0.325400,-0.000003,0.395252
0.332961,0.325383,-0.000003,0.395453
0.334964,0.325362,-0.000003,0.395655
0.336963,0.325339,-0.000003,0.395857
0.338965,0.325313,-0.000003,0.396059
0.340963,0.325285,-0.000003,0.396260
0.342978,0.325253,-0.000003,0.396462
0.344962,0.325219,-0.000003,0.396664
0.346971,0.325182,-0.000003,0.396865
0.348963,0.325143,-0.000003,0.397067
0.350977,0.325102,-0.000003,0.397269
0.352961,0.325057,-0.000003,0.397471
0.354983,0.325011,-0.000003,0.397673
0.356960,0.324962,-0.000003,0.397875
0.358959,0.324911,-0.000003,0.398077
0.360959,0.324858,-0.000003,0.398279
0.362995,0.324803,-0.000003,0.398482
0.365079,0.324746,-0.000003,0.398684
0.366965,0.324686,-0.000003,0.398887
0.368964,0.324625,-0.000003,0.399090
0.370964,0.324562,-0.000003,0.399292
0.372965,0.324497,-0.000003,0.399496
0.374964,0.324430,-0.000003,0.399699
0.376964,0.324362,-0.000003,0.399903
0.378966,0.324292,-0.000003,0.400106
0.381045,0.324220,-0.000003,0.400311
0.382966,0.324147,-0.000003,0.400515
0.384960,0.324072,-0.000003,0.400719
0.386961,0.323996,-0.000003,0.400924
0.388960,0.323918,-0.000003,0.401129
0.390995,0.323840,-0.000003,0.401335
0.392959,0.323760,-0.000003,0.401540
0.395002,0.323678,-0.000003,0.401747
0.397047,0.323596,-0.000003,0.401953
0.398996,0.323513,-0.000003,0.402160
0.400981,0.323428,-0.000003,0.402367
0.402970,0.323386,-0.000003,0.402470
0.404991,0.323300,-0.000003,0.402678
0.407010,0.323214,-0.000003,0.402886
0.409023,0.323126,-0.000003,0.403095
0.411023,0.323038,-0.000003,0.403303
0.412974,0.322949,-0.000003,0.403513
0.414971,0.322904,-0.000003,0.403617
0.416961,0.322770,-0.000003,0.403932
0.418963,0.322679,-0.000003,0.404143
0.420960,0.322588,-0.000003,0.404354
0.422996,0.322496,-0.000003,0.404565
0.424963,0.322405,-0.000003,0.404777
0.426995,0.322312,-0.000003,0.404989
0.429024,0.322220,-0.000003,0.405202
0.430955,0.322127,-0.000003,0.405416
0.432967,0.322035,-0.000003,0.405630
0.434965,0.321942,-0.000003,0.405844
0.436964,0.321849,-0.000003,0.406059
0.438963,0.321756,-0.000003,0.406274
0.440962,0.321663,-0.000003,0.406490
0.442910,0.321570,-0.000003,0.406707
0.444951,0.321524,-0.000003,0.406815
0.446976,0.321432,-0.000003,0.407032
0.449001,0.321339,-0.000003,0.407250
0.451010,0.321247,-0.000003,0.407469
0.453000,0.321155,-0.000003,0.407688
0.454998,0.321064,-0.000003,0.407907
0.456982,0.320973,-0.000003,0.408127
0.458959,0.320882,-0.000003,0.408348
0.460961,0.320792,-0.000003,0.408569
0.462926,0.320702,-0.000003,0.408791
0.465071,0.320613,-0.000003,0.409013
0.467042,0.320524,-0.000003,0.409236
0.469092,0.320436,-0.000003,0.409460
0.471199,0.320349,-0.000003,0.409684
0.472974,0.320306,-0.000003,0.409796
0.475025,0.320219,-0.000003,0.410021
0.477000,0.320134,-0.000003,0.410247
0.479015,0.320049,-0.000003,0.410473
0.480986,0.319965,-0.000003,0.410700
0.482999,0.319881,-0.000003,0.410928
0.485000,0.319799,-0.000003,0.411156
