t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
0.000000000000000000e+00,3.105533417739030355e-01,8.772447836631336315e-04,4.880948613382773971e-01,-1.729608858094408563e-03,-1.155043072568657375e-03,1.017568082814102742e-03,1.852303452162622471e-03,3.432769292770553146e-04,-9.097629398787025843e-04
3.327292112420671133e-02,3.108036320854647983e-01,8.870331671338993473e-04,4.884671904967099465e-01,-1.667977311432505827e-03,-1.143621246377062028e-03,9.872976122737922577e-04,2.004115143183344844e-03,3.812278804377697695e-04,-1.008963272761306037e-03
6.654584224841342266e-02,3.104503173293302609e-01,8.685165244685100205e-04,4.879043309191324340e-01,-1.596243327928473232e-03,-1.129673942176348533e-03,9.504257720304859491e-04,2.047827849211841800e-03,3.906732382385233286e-04,-1.037473746505680749e-03
9.981876337262013399e-02,3.105487242753621757e-01,8.699793047789450284e-04,4.880422764555554238e-01,-1.531702882426946855e-03,-1.117623566694564419e-03,9.182580480019547631e-04,1.931854651168645040e-03,3.646978121693888520e-04,-9.611015883572138728e-04
1.330916844968268453e-01,3.106050217351530307e-01,8.742985262939484414e-04,4.881120382751724662e-01,-1.467686433064940843e-03,-1.105404819099382874e-03,8.864684573469672202e-04,1.971208981934967266e-03,3.751726452579357387e-04,-9.871626821691468871e-04
1.663646056210335566e-01,3.105418614314707781e-01,8.680284168596230643e-04,4.879993265892714760e-01,-1.400527120476446896e-03,-1.092657387027309857e-03,8.525664758808060295e-04,2.007097225262439132e-03,3.785731840921332972e-04,-1.011309184987232729e-03
1.996375267452402680e-01,3.105477917779317920e-01,8.638379843670662694e-04,4.879947314034858152e-01,-1.334122457735398282e-03,-1.080212347711308196e-03,8.191700358584352859e-04,1.970855730943995091e-03,3.720083784981538869e-04,-9.866855227888544737e-04
2.329104478694469793e-01,3.105810085883149441e-01,8.659174461178587023e-04,4.880296006270192777e-01,-1.269374865910666283e-03,-1.067901776156683635e-03,7.869066567325055939e-04,1.961647289293340975e-03,3.735010718675796913e-04,-9.804579950687436658e-04
2.661833689936536906e-01,3.105646488889668433e-01,8.642550761512879376e-04,4.879880131094473938e-01,-1.203582986675055810e-03,-1.055357404303194913e-03,7.539246327873949660e-04,1.989632948476923163e-03,3.767589104897627267e-04,-9.996071334434422900e-04
2.994562901178604020e-01,3.105540519477791861e-01,8.593327198127553856e-04,4.879575708577696957e-01,-1.136973065589075294e-03,-1.042830037133547771e-03,7.203869581199895400e-04,1.986624985788759418e-03,3.743388748569719069e-04,-9.972312615226140101e-04
